Genotype,A,Ci,gsw,Treatment,E,intrWUE_AE,instWUE_AGs,Species
b40-14,2.70149814804858,165.524476148587,0.0204187569325452,Control,0.826108737224903,3.27014837916321,132.304731231836,arizonica
b40-14,NA,NA,0.0523612976099229,Drought,2.95569093469269,NA,NA,arizonica
b40-14,3.58347930605725,143.247048972772,0.0256523656288825,Control,1.61687753749706,2.21629605393894,139.69391197288,arizonica
b40-14,3.87401853161134,131.906452009887,0.0264648050275931,Control,1.71491365653984,2.25901666642967,146.383792647335,arizonica
b40-14,-0.883391879949123,NA,0.0031476319577870898,Drought,0.160544013399376,-5.50249032177587,-280.652850077867,arizonica
b40-14,-0.185704720514717,518.517092924988,0.00201493648913433,Drought,0.0801288792157633,-2.31757541515924,-92.1640565427951,arizonica
b40-14,-0.102868972530215,389.778284930644,0.00536855226165536,Drought,0.34696315772782,-0.296483849189867,-19.1613991103248,arizonica
b40-14,-2.71366528784166,NA,0.00223543316909592,Drought,0.114872810039711,NA,NA,arizonica
b40-14,-0.259370439780975,681.248280814982,0.00131562788836841,Drought,0.0523314327640991,-4.9563030492624,-197.145744685175,arizonica
b40-14,2.41603879515663,174.96381235067,0.0196871421183799,Control,1.05770405129759,2.28422949897244,122.72166171346,arizonica
b40-14,5.10183578018502,129.848309601889,0.0342080038059893,Control,1.88723784964865,2.70333481343373,149.141581283728,arizonica
b42-34,-0.0965694623032497,409.044244288146,0.00352632513536091,Drought,0.189596930742422,-0.509340852328696,-27.3852973269199,cinerea
b42-34,12.708528554785,241.773924323445,0.171363298863912,Control,6.11026719600262,2.07986461919358,74.1613206505642,cinerea
b42-34,-0.0843882884360034,428.275989381497,0.00212826931575661,Drought,0.113998709576163,-0.740256523514623,-39.651132406616,cinerea
b42-34,4.20401170812783,178.093475236604,0.0334367323424471,Drought,1.02888734454701,4.08597863547318,125.730339468338,cinerea
b42-34,0.343278403075375,307.717432603578,0.00956089864054326,Drought,0.574433587781473,0.59759458774191,35.9044077321031,cinerea
b42-34,0.637150941553962,274.51996537059,0.0115360731927102,Drought,0.765170152223871,0.832691839458404,55.2311805681492,cinerea
b42-34,3.00583446405102,156.140751377619,0.0212699274088351,Drought,0.632878904083083,4.74946225045355,141.318510697054,cinerea
b42-34,1.64496958910222,210.606470958736,0.0169405982714338,Drought,1.08073245959116,1.52208770496678,97.1022134369397,cinerea
b42-34,8.15267739591763,185.570166807053,0.0748860423820956,Control,4.25405291942316,1.91644945428256,108.867782788143,cinerea
b42-34,8.69197462248756,239.116207081465,0.117083529058454,Control,6.10988223251607,1.42260919142269,74.2373815718186,cinerea
b42-34,1.23555421606472,243.084977953781,0.0160287831817031,Drought,0.976198557894259,1.26567920642078,77.0834692851235,cinerea
b42-34,1.82134225797249,201.051796692308,0.0169515497728714,Drought,0.846387131429541,2.15190211469338,107.443996706855,cinerea
b42-34,2.95670534465813,203.606744407739,0.0280748924876679,Drought,1.33740101583971,2.21078443162518,105.314930269346,cinerea
