"","ID","Genotype","Treatment","Species","Type","value"
"163","T52.10","T52","Control","aestivalis","root_biomass",16.4003
"164","T52.10","T52","Control","aestivalis","root_biomass",16.4003
"165","T52.4","T52","Drought","aestivalis","root_biomass",22.0292
"166","T52.4","T52","Drought","aestivalis","root_biomass",22.0292
"167","T52.4","T52","Drought","aestivalis","root_biomass",22.0292
"168","T52.4","T52","Drought","aestivalis","root_biomass",22.0292
"169","T52.5","T52","Drought","aestivalis","root_biomass",22.8169
"170","T52.6","T52","Control","aestivalis","root_biomass",28.3423
"171","T52.6","T52","Control","aestivalis","root_biomass",28.3423
"172","T52.8","T52","Control","aestivalis","root_biomass",23.1824
"173","T52.8","T52","Control","aestivalis","root_biomass",23.1824
"174","T52.8","T52","Control","aestivalis","root_biomass",23.1824
"175","TXNM0821.1","TXNM0821","Drought","riparia","root_biomass",10.5526
"176","TXNM0821.2","TXNM0821","Drought","riparia","root_biomass",10.5019
"177","TXNM0821.2","TXNM0821","Drought","riparia","root_biomass",10.5019
"178","TXNM0821.2","TXNM0821","Drought","riparia","root_biomass",10.5019
"179","TXNM0821.3","TXNM0821","Drought","riparia","root_biomass",8.5535
"180","TXNM0821.3","TXNM0821","Drought","riparia","root_biomass",8.5535
"181","TXNM0821.3","TXNM0821","Drought","riparia","root_biomass",8.5535
"182","TXNM0821.3","TXNM0821","Drought","riparia","root_biomass",8.5535
"183","TXNM0821.3","TXNM0821","Drought","riparia","root_biomass",8.5535
"184","TXNM0821.5","TXNM0821","Control","riparia","root_biomass",13.4268
"185","TXNM0821.5","TXNM0821","Control","riparia","root_biomass",13.4268
"186","TXNM0821.5","TXNM0821","Control","riparia","root_biomass",13.4268
"187","TXNM0821.5","TXNM0821","Control","riparia","root_biomass",13.4268
"188","TXNM0821.7","TXNM0821","Control","riparia","root_biomass",18.1925
"189","TXNM0821.8","TXNM0821","Drought","riparia","root_biomass",14.7125
"190","TXNM0821.9","TXNM0821","Control","riparia","root_biomass",19.7714
"191","TXNM0821.9","TXNM0821","Control","riparia","root_biomass",19.7714
"192","TXNM0821.9","TXNM0821","Control","riparia","root_biomass",19.7714
"193","V60-96.1","V60-96","Drought","vulpina","root_biomass",4.9356
"194","V60-96.7","V60-96","Control","vulpina","root_biomass",5.9905
"195","Vru42.2","Vru42","Drought","rupestris","root_biomass",17.1116
"196","Vru42.2","Vru42","Drought","rupestris","root_biomass",17.1116
"197","Vru42.2","Vru42","Drought","rupestris","root_biomass",17.1116
"198","Vru42.2","Vru42","Drought","rupestris","root_biomass",17.1116
"199","Vru42.2","Vru42","Drought","rupestris","root_biomass",17.1116
"200","Vru42.3","Vru42","Drought","rupestris","root_biomass",16.707
"201","Vru42.5","Vru42","Drought","rupestris","root_biomass",16.0623
"202","Vru42.6","Vru42","Control","rupestris","root_biomass",19.1472
"203","Vru42.6","Vru42","Control","rupestris","root_biomass",19.1472
"204","Vru42.6","Vru42","Control","rupestris","root_biomass",19.1472
"205","Vru42.6","Vru42","Control","rupestris","root_biomass",19.1472
"206","Vru42.8","Vru42","Control","rupestris","root_biomass",25.3618
"207","Vru42.9","Vru42","Control","rupestris","root_biomass",17.736
"208","9018.1","9018","Drought","acerifolia","TotalLeafArea",1124.29
"209","9018.1","9018","Drought","acerifolia","TotalLeafArea",1124.29
"210","9018.1","9018","Drought","acerifolia","TotalLeafArea",1124.29
"211","9018.10.","9018","Control","acerifolia","TotalLeafArea",8130.608302
"212","9018.10.","9018","Control","acerifolia","TotalLeafArea",8130.608302
"213","9018.10.","9018","Control","acerifolia","TotalLeafArea",8130.608302
"214","9018.10.","9018","Control","acerifolia","TotalLeafArea",8130.608302
"215","9018.3","9018","Drought","acerifolia","TotalLeafArea",1318.33
"216","9018.3","9018","Drought","acerifolia","TotalLeafArea",1318.33
"217","9018.3","9018","Drought","acerifolia","TotalLeafArea",1318.33
"218","9018.4","9018","Drought","acerifolia","TotalLeafArea",2353.282516
"219","9018.4","9018","Drought","acerifolia","TotalLeafArea",2353.282516
"220","9018.4","9018","Drought","acerifolia","TotalLeafArea",2353.282516
"221","9018.4","9018","Drought","acerifolia","TotalLeafArea",2353.282516
"222","9018.8","9018","Control","acerifolia","TotalLeafArea",7606.237241
"223","9018.9","9018","Control","acerifolia","TotalLeafArea",7502.01863
"224","9018.9","9018","Control","acerifolia","TotalLeafArea",7502.01863
"225","9018.9","9018","Control","acerifolia","TotalLeafArea",7502.01863
"226","b40-14.2","b40-14","Drought","arizonica","TotalLeafArea",1198.98
"227","b40-14.2","b40-14","Drought","arizonica","TotalLeafArea",1198.98
"228","b40-14.2","b40-14","Drought","arizonica","TotalLeafArea",1198.98
"229","b40-14.2","b40-14","Drought","arizonica","TotalLeafArea",1198.98
"230","b40-14.2","b40-14","Drought","arizonica","TotalLeafArea",1198.98
"231","b40-14.3","b40-14","Drought","arizonica","TotalLeafArea",3763.422765
"232","b40-14.3","b40-14","Drought","arizonica","TotalLeafArea",3763.422765
"233","b40-14.3","b40-14","Drought","arizonica","TotalLeafArea",3763.422765
"234","b40-14.3","b40-14","Drought","arizonica","TotalLeafArea",3763.422765
"235","b40-14.5","b40-14","Drought","arizonica","TotalLeafArea",2702.946494
"236","b40-14.6","b40-14","Control","arizonica","TotalLeafArea",16561.11439
"237","b40-14.7","b40-14","Control","arizonica","TotalLeafArea",15310.79234
"238","b40-14.7","b40-14","Control","arizonica","TotalLeafArea",15310.79234
"239","b40-14.7","b40-14","Control","arizonica","TotalLeafArea",15310.79234
"240","b40-14.7","b40-14","Control","arizonica","TotalLeafArea",15310.79234
"241","b40-14.9","b40-14","Control","arizonica","TotalLeafArea",15575.09477
"242","b40-14.9","b40-14","Control","arizonica","TotalLeafArea",15575.09477
"243","b40-14.9","b40-14","Control","arizonica","TotalLeafArea",15575.09477
"244","b40-14.9","b40-14","Control","arizonica","TotalLeafArea",15575.09477
"245","b42-34.1","b42-34","Drought","cinerea","TotalLeafArea",719.19
"246","b42-34.10","b42-34","Control","cinerea","TotalLeafArea",5679.824052
"247","b42-34.5","b42-34","Drought","cinerea","TotalLeafArea",996.78
"248","b42-34.7","b42-34","Control","cinerea","TotalLeafArea",5261.433604
"249","b42-34.9","b42-34","Control","cinerea","TotalLeafArea",5880.467708
"250","NY1.10","NY1","Control","riparia","TotalLeafArea",7682.946288
"251","NY1.2","NY1","Drought","riparia","TotalLeafArea",1520.51
"252","NY1.4","NY1","Drought","riparia","TotalLeafArea",1366.19
"253","NY1.5","NY1","Drought","riparia","TotalLeafArea",6346.792707
"254","NY1.8","NY1","Control","riparia","TotalLeafArea",4642.821206
"255","T48.1","T48","Drought","mustangensis","TotalLeafArea",797.84
"256","T48.10","T48","Control","mustangensis","TotalLeafArea",4996.110979
"257","T48.2","T48","Drought","mustangensis","TotalLeafArea",954.4
"258","T48.3","T48","Drought","mustangensis","TotalLeafArea",1041.42
"259","T48.6","T48","Control","mustangensis","TotalLeafArea",5906.512218
"260","T48.8","T48","Control","mustangensis","TotalLeafArea",3016.842794
"261","T52.1","T52","Drought","aestivalis","TotalLeafArea",1019.49
"262","T52.1","T52","Drought","aestivalis","TotalLeafArea",1019.49
"263","T52.1","T52","Drought","aestivalis","TotalLeafArea",1019.49
"264","T52.10","T52","Control","aestivalis","TotalLeafArea",7265.738182
"265","T52.10","T52","Control","aestivalis","TotalLeafArea",7265.738182
"266","T52.10","T52","Control","aestivalis","TotalLeafArea",7265.738182
"267","T52.4","T52","Drought","aestivalis","TotalLeafArea",1808.980616
"268","T52.4","T52","Drought","aestivalis","TotalLeafArea",1808.980616
"269","T52.4","T52","Drought","aestivalis","TotalLeafArea",1808.980616
"270","T52.4","T52","Drought","aestivalis","TotalLeafArea",1808.980616
"271","T52.5","T52","Drought","aestivalis","TotalLeafArea",498.04
"272","T52.6","T52","Control","aestivalis","TotalLeafArea",9870.327082
"273","T52.6","T52","Control","aestivalis","TotalLeafArea",9870.327082
"274","T52.8","T52","Control","aestivalis","TotalLeafArea",9182.839267
"275","T52.8","T52","Control","aestivalis","TotalLeafArea",9182.839267
"276","T52.8","T52","Control","aestivalis","TotalLeafArea",9182.839267
"277","TXNM0821.1","TXNM0821","Drought","riparia","TotalLeafArea",1193.22
"278","TXNM0821.2","TXNM0821","Drought","riparia","TotalLeafArea",1834.841647
"279","TXNM0821.2","TXNM0821","Drought","riparia","TotalLeafArea",1834.841647
"280","TXNM0821.2","TXNM0821","Drought","riparia","TotalLeafArea",1834.841647
"281","TXNM0821.3","TXNM0821","Drought","riparia","TotalLeafArea",1742.87
"282","TXNM0821.3","TXNM0821","Drought","riparia","TotalLeafArea",1742.87
"283","TXNM0821.3","TXNM0821","Drought","riparia","TotalLeafArea",1742.87
"284","TXNM0821.3","TXNM0821","Drought","riparia","TotalLeafArea",1742.87
"285","TXNM0821.3","TXNM0821","Drought","riparia","TotalLeafArea",1742.87
"286","TXNM0821.5","TXNM0821","Control","riparia","TotalLeafArea",5713.422256
"287","TXNM0821.5","TXNM0821","Control","riparia","TotalLeafArea",5713.422256
"288","TXNM0821.5","TXNM0821","Control","riparia","TotalLeafArea",5713.422256
"289","TXNM0821.5","TXNM0821","Control","riparia","TotalLeafArea",5713.422256
"290","TXNM0821.7","TXNM0821","Control","riparia","TotalLeafArea",5499.96894
"291","TXNM0821.8","TXNM0821","Drought","riparia","TotalLeafArea",2165.060221
"292","TXNM0821.9","TXNM0821","Control","riparia","TotalLeafArea",5701.947288
"293","TXNM0821.9","TXNM0821","Control","riparia","TotalLeafArea",5701.947288
"294","TXNM0821.9","TXNM0821","Control","riparia","TotalLeafArea",5701.947288
"295","V60-96.1","V60-96","Drought","vulpina","TotalLeafArea",156.64
"296","V60-96.2","V60-96","Drought","vulpina","TotalLeafArea",271.82
"297","V60-96.6","V60-96","Control","vulpina","TotalLeafArea",3941.207589
"298","V60-96.7","V60-96","Control","vulpina","TotalLeafArea",6372.029907
"299","V60-96.9","V60-96","Control","vulpina","TotalLeafArea",7065.503614
"300","Vru42.2","Vru42","Drought","rupestris","TotalLeafArea",1315.46
"301","Vru42.2","Vru42","Drought","rupestris","TotalLeafArea",1315.46
"302","Vru42.2","Vru42","Drought","rupestris","TotalLeafArea",1315.46
"303","Vru42.2","Vru42","Drought","rupestris","TotalLeafArea",1315.46
"304","Vru42.2","Vru42","Drought","rupestris","TotalLeafArea",1315.46
"305","Vru42.3","Vru42","Drought","rupestris","TotalLeafArea",2096.875459
"306","Vru42.5","Vru42","Drought","rupestris","TotalLeafArea",1494.83
"307","Vru42.6","Vru42","Control","rupestris","TotalLeafArea",10496.32272
"308","Vru42.6","Vru42","Control","rupestris","TotalLeafArea",10496.32272
"309","Vru42.6","Vru42","Control","rupestris","TotalLeafArea",10496.32272
"310","Vru42.6","Vru42","Control","rupestris","TotalLeafArea",10496.32272
"311","Vru42.8","Vru42","Control","rupestris","TotalLeafArea",8529.627308
"312","Vru42.9","Vru42","Control","rupestris","TotalLeafArea",8751.353116
