"","X","ID","Genotype","Treatment","Date","LWP","SWP","PD","LWP.area","SWP.area","PD.area","species_geno"
"85",320,"V60-96.10","V60-96","Control","12/01-03","7,000",NA,9.1,66.28826389,NA,NA,"V60-96"
"86",322,"Vru42.4","Vru42","Drought","12/01-03","14,000",NA,9.9,29.20222222,NA,NA,"Vru42"
"87",323,"Vru42.7","Vru42","Control","12/01-03","14,000",NA,8.3,41.96194444,NA,NA,"Vru42"
"88",324,"9018.5","9018","Drought","12/11-18","11,300","11,0",8.1,NA,44.59826389,44.51444444,"9018"
"89",325,"9018.6","9018","Control","12/11-18","7,000","9,4",6.7,NA,40.23388889,36.60055556,"9018"
"90",326,"9031.11","9031","Control","12/11-18","13,400","11,2",7.3,NA,45.31569444,63.40916667,"9031"
"91",327,"9031.5","9031","Drought","12/11-18","13,900","13,4",9.9,NA,64.12090278,48.81916667,"9031"
"92",328,"b40-14.10","b40-14","Control","12/11-18","10,800","10,4",7,35.25944444,NA,23.37520833,"b40-14"
"93",329,"b42-34.6","b42-34","Control","12/11-18","13,900","11,5",5.8,30.39694444,NA,33.01541667,"b42-34"
"94",330,"NY1.1","NY1","Drought","12/11-18","11,600","12,0",7.1,33.53409722,NA,61.74125,"NY1"
"95",332,"SC2.5","SC2","Drought","12/11-18","11,000","11,0",6.6,NA,48.63402778,48.46048611,"SC2"
"96",333,"SC2.7","SC2","Control","12/11-18","7,800","9,6",5.6,123.0169444,NA,101.3915278,"SC2"
"97",334,"T48.4","T48","Drought","12/11-18","11,900","11,9",7,NA,57.34263889,65.72638889,"T48"
"98",335,"T48.7","T48","Control","12/11-18","9,900","9,2",4.8,66.94722222,NA,102.85125,"T48"
"99",336,"T52.3","T52","Drought","12/11-18","13,900","12,9",10.4,NA,44.03166667,43.93673611,"T52"
"100",337,"T52.7","T52","Control","12/11-18","11,400","8,5",3.9,67.46395833,NA,63.51458333,"T52"
"101",338,"TX6704.6","TX6704","Control","12/11-18","10,900","9,9",4.9,NA,41.38715278,47.91965278,"TX6704"
"102",339,"TXNM0821.10","TXNM0821","Control","12/11-18","10,200","7,3",4.9,122.4475,NA,97.70715278,"TXNM0821"
"103",340,"TXNM0821.4","TXNM0821","Drought","12/11-18","9,300","9,9",4.1,NA,58.55208333,76.89895833,"TXNM0821"
"104",341,"V60-96.3","V60-96","Drought","12/11-18","13,300","13,2",6.4,NA,21.20104167,64.24951389,"V60-96"
"105",342,"V60-96.8","V60-96","Control","12/11-18","11,400","10,0",4.8,NA,60.32111111,59.99104167,"V60-96"
"106",343,"Vru42.1","Vru42","Drought","12/11-18","12,900",NA,8.8,NA,27.85888889,27.61347222,"Vru42"
"107",344,"Vru42.10","Vru42","Control","12/11-18","12,900","12,0",6.8,26.3525,NA,20.43520833,"Vru42"
"108",353,"9018.3","9018","Drought","12/11-18","14,500","13,2",8.3,42.22166667,NA,50.17895833,"9018"
"109",354,"9018.8","9018","Control","12/11-18","11,500","9,6",6.4,59.34645833,60.30756944,51.67430556,"9018"
"110",355,"9031.7","9031","Control","12/11-18","12,600","10,2",9.2,41.1775,56.07138889,47.13166667,"9031"
"111",356,"9035.2","9035","Drought","12/11-18","10,500","10,7",6.8,56.72590278,52.48125,65.06125,"9035"
"112",357,"9035.7","9035","Control","12/11-18","9,000","9,0",5.3,203.6463194,NA,235.8797222,"9035"
"113",358,"b40-14.6","b40-14","Control","12/11-18","13,000","13,9",6.2,32.210625,51.10486111,32.11944444,"b40-14"
"114",359,"b42-34.1","b42-34","Drought","12/11-18","14,600",NA,8.6,29.10715278,35.29972222,35.41236111,"b42-34"
"115",360,"b42-34.9","b42-34","Control","12/11-18","12,600","12,4",8.5,61.11465278,37.85194444,44.78736111,"b42-34"
"116",361,"NY1.5","NY1","Drought","12/11-18","12,900","10,6",6.3,38.95375,43.46381944,55.01347222,"NY1"
"117",362,"NY1.9","NY1","Control","12/11-18","14,600","7,4",8,52.84916667,71.47409722,109.7648611,"NY1"
"118",363,"SC2.9","SC2","Drought","12/11-18","10,500","9,0",5.3,39.81041667,46.11590278,43.88847222,"SC2"
"119",364,"T48.2","T48","Drought","12/11-18","7,500","14,5",7,68.15659722,54.58694444,63.80965278,"T48"
"120",365,"T48.6","T48","Control","12/11-18","12,600","12,0",6.2,94.50506944,63.89354167,86.07256944,"T48"
"121",366,"T52.1","T52","Drought","12/11-18","9,500",NA,5.1,50.43138889,60.92993056,71.27826389,"T52"
"122",367,"T52.6","T52","Control","12/11-18","8,500","9,0",6.4,73.95520833,52.97451389,52.84909722,"T52"
"123",368,"TX6704.9","TX6704","Control","12/11-18","11,500","9,1",8.7,28.77736111,62.92631944,37.29958333,"TX6704"
"124",369,"TXNM0821.7","TXNM0821","Control","12/11-18","7,500","11,1",5.2,98.01569444,40.02958333,120.0670833,"TXNM0821"
"125",370,"V60-96.1","V60-96","Drought","12/11-18","11,500","11,9",7.8,26.24534722,14.89868056,22.4475,"V60-96"
"126",371,"V60-96.7","V60-96","Control","12/11-18","8,400","10,5",4.7,111.1334722,NA,99.79951389,"V60-96"
"127",372,"Vru42.6","Vru42","Control","12/11-18","13,600","13,0",6.3,24.83,21.35694444,32.79,"Vru42"
