"","ID","Genotype","Species","Treatment","Order.within.block","mPot..kg.","Dry.weight.of.soil..kg.","mH2O..kg.","Date","PWW","WA","BB","TW","POWW","PD.WT","midday.WT","POWW.NOTES","WU","tgt_swc","SWC","species_geno"
"83","9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/13",5.36,-0.003417827,1,5.356582173,5.36,NA,NA,NA,0.219999999999999,0.3,0.353246806841095,"acerifolia_9018"
"84","9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/16",5.06,0.296582173,1,5.356582173,5.35,NA,NA,NA,0.210000000000001,0.3,0.245578364851393,"acerifolia_9018"
"85","9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/23",5.1065,0.250082173,1,5.356582173,5.4095,NA,NA,NA,0.1775,0.3,0.259779461081794,"acerifolia_9018"
"86","9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/25",5.17,0.186582173,1,5.356582173,5.37,NA,NA,NA,0.1795,0.3,0.275187186403666,"acerifolia_9018"
"87","9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/27",5.1555,0.201082173,1,5.356582173,5.3895,NA,NA,NA,0.20675,0.3,0.265162883182207,"acerifolia_9018"
"88","9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/30",5.06,0.296582173,1,5.356582173,5.37,NA,NA,NA,0.2172,0.3,0.251054604574227,"acerifolia_9018"
"89","9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"12/02",5.13,0.226582173,1,5.356582173,5.13,NA,NA,NA,0.20815,0.3,0.26042918443874,"acerifolia_9018"
"90","9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"12/04",4.97,0.117236769,1,5.087236769,5.1,NA,NA,NA,0.12815,0.2,0.186175086520569,"acerifolia_9018"
"91","9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"12/07",4.872,4.980709378,1,5.087236769,4.9895,NA,NA,NA,0.0799999999999998,0.2,0.162413775199377,"acerifolia_9018"
"92","9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"12/09",4.85,0.507291551,1,5.356582173,5.36,NA,NA,NA,0.0535000000000001,0.3,0.13781710523927,"acerifolia_9018"
"93","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"10/28",6.19,0.397019499,1,6.587019499,NA,NA,NA,NA,0.2696823588,0.8,0.646773369556188,"acerifolia_9018"
"94","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"10/30",6.218,0.369019499,1,6.587019499,NA,NA,NA,NA,0.2120823588,0.8,0.655185777930831,"acerifolia_9018"
"95","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/02",6.1205,0.466519499,1,6.587019499,6.5875,NA,NA,NA,0.0879823588,0.8,0.642047297435603,"acerifolia_9018"
"96","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/04",6.2795,0.307519499,1,6.587019499,6.592,NA,NA,NA,0.0655000000000007,0.8,0.741956462064785,"acerifolia_9018"
"97","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/06",6.286,0.301019499,1,6.587019499,6.5815,NA,NA,NA,0.17,0.8,0.744035933797842,"acerifolia_9018"
"98","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/09",5.9565,0.630519499,1,6.587019499,6.6005,NA,NA,NA,0.373,0.8,0.679761352957877,"acerifolia_9018"
"99","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/11",6.14,0.447019499,1,6.587019499,6.58,NA,NA,NA,0.290500000000001,0.8,0.718042537134621,"acerifolia_9018"
"100","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/13",6.19,0.397019499,1,6.587019499,6.59,NA,NA,NA,0.242,0.8,0.723619302236912,"acerifolia_9018"
"101","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/23",6.498,0.353509749,1,6.851509749,6.97,NA,NA,NA,0.214,0.9,0.853680807260092,"acerifolia_9018"
"102","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/25",6.31,0.541509749,1,6.851509749,6.95,NA,NA,NA,0.458258078,0.9,0.820031173761521,"acerifolia_9018"
"103","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/27",6.298,0.553509749,1,6.851509749,6.8715,NA,NA,NA,0.4834,0.9,0.813981801447171,"acerifolia_9018"
"104","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"11/30",6.66,0.191509749,1,6.851509749,6.85,NA,NA,NA,0.5052,0.9,0.867575459294614,"acerifolia_9018"
"105","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"12/02",6.8,0.051509749,1,6.851509749,6.86,NA,NA,NA,0.464829039,0.9,0.88997704114619,"acerifolia_9018"
"106","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"12/04",6.54,0.311509749,1,6.851509749,6.86,NA,NA,NA,0.734829039,0.9,0.842716319940333,"acerifolia_9018"
"107","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"12/07",6.615,6.595759517,2,6.619519499,6.615,NA,NA,NA,1.115,0.9,0.900750642412999,"acerifolia_9018"
"108","9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"12/09",6.4,0.457269266,2,6.619519499,6.59,NA,NA,NA,0.557,0.9,0.85764702150513,"acerifolia_9018"
"109","9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"10/28",5.038,0.436399257,1,5.624399257,NA,NA,NA,NA,0.3090621168,0.8,0.52112480966316,"acerifolia_9018"
