"","ID","Genotype","Treatment","Species","TotalLeafArea","canopy_biomass","root_biomass"
"137","TXNM0821.9","TXNM0821","Control","riparia",5701.947288,56.8,19.7714
"138","V60-96.1","V60-96","Drought","vulpina",156.64,1.1,4.9356
"139","V60-96.10","V60-96","Control",NA,NA,33.2,NA
"140","V60-96.2","V60-96","Drought","vulpina",271.82,2.3,NA
"141","V60-96.3","V60-96","Drought",NA,NA,7.5,NA
"142","V60-96.4","V60-96","Drought",NA,NA,10.5,NA
"143","V60-96.5","V60-96","Drought",NA,NA,2.4,NA
"144","V60-96.6","V60-96","Control","vulpina",3941.207589,25.1,NA
"145","V60-96.7","V60-96","Control","vulpina",6372.029907,41.6,5.9905
"146","V60-96.8","V60-96","Control",NA,NA,15.4,NA
"147","V60-96.9","V60-96","Control","vulpina",7065.503614,46,NA
"148","Vru42.1","Vru42","Drought",NA,NA,14.4,17.4022
"149","Vru42.1","Vru42","Drought",NA,NA,14.4,17.4022
"150","Vru42.1","Vru42","Drought",NA,NA,14.4,17.4022
"151","Vru42.10","Vru42","Control",NA,NA,45,22.0371
"152","Vru42.2","Vru42","Drought","rupestris",1315.46,12.8,17.1116
"153","Vru42.2","Vru42","Drought","rupestris",1315.46,12.8,17.1116
"154","Vru42.2","Vru42","Drought","rupestris",1315.46,12.8,17.1116
"155","Vru42.2","Vru42","Drought","rupestris",1315.46,12.8,17.1116
"156","Vru42.2","Vru42","Drought","rupestris",1315.46,12.8,17.1116
"157","Vru42.3","Vru42","Drought","rupestris",2096.875459,18.8,16.707
"158","Vru42.4","Vru42","Drought",NA,NA,9.8,15.2759
"159","Vru42.4","Vru42","Drought",NA,NA,9.8,15.2759
"160","Vru42.4","Vru42","Drought",NA,NA,9.8,15.2759
"161","Vru42.5","Vru42","Drought","rupestris",1494.83,13.2,16.0623
"162","Vru42.6","Vru42","Control","rupestris",10496.32272,13.2,19.1472
"163","Vru42.6","Vru42","Control","rupestris",10496.32272,13.2,19.1472
"164","Vru42.6","Vru42","Control","rupestris",10496.32272,72.7,19.1472
"165","Vru42.6","Vru42","Control","rupestris",10496.32272,13.2,19.1472
"166","Vru42.7","Vru42","Control",NA,NA,69.2,29.2559
"167","Vru42.7","Vru42","Control",NA,NA,69.2,29.2559
"168","Vru42.7","Vru42","Control",NA,NA,69.2,29.2559
"169","Vru42.7","Vru42","Control",NA,NA,69.2,29.2559
"170","Vru42.7","Vru42","Control",NA,NA,69.2,29.2559
"171","Vru42.7","Vru42","Control",NA,NA,69.2,29.2559
"172","Vru42.8","Vru42","Control","rupestris",8529.627308,59.6,25.3618
"173","Vru42.9","Vru42","Control","rupestris",8751.353116,53.8,17.736
