"","ID","species_geno","Treatment","Date","WPType","WP","Date_group"
"123","NY1.1","NY1","Drought","11/16","LWP",12.9,"Nov 16 to 18"
"124","NY1.6","NY1","Control","11/16","LWP",12.3,"Nov 16 to 18"
"125","SC2.5","SC2","Drought","11/16","LWP",11.6,"Nov 16 to 18"
"126","SC2.7","SC2","Control","11/16","LWP",8.5,"Nov 16 to 18"
"127","T48.4","T48","Drought","11/16","LWP",9.4,"Nov 16 to 18"
"128","T48.7","T48","Control","11/16","LWP",12,"Nov 16 to 18"
"129","T52.3","T52","Drought","11/16","LWP",12.3,"Nov 16 to 18"
"130","T52.7","T52","Control","11/16","LWP",10.2,"Nov 16 to 18"
"131","TX6704.1","TX6704","Drought","11/16","LWP",11.8,"Nov 16 to 18"
"132","TX6704.6","TX6704","Control","11/16","LWP",11.1,"Nov 16 to 18"
"133","TXNM0821.4","TXNM0821","Drought","11/16","LWP",9,"Nov 16 to 18"
"134","V60-96.3","V60-96","Drought","11/16","LWP",11,"Nov 16 to 18"
"135","Vru42.1","Vru42","Drought","11/16","LWP",11.8,"Nov 16 to 18"
"136","Vru42.10","Vru42","Control","11/16","LWP",13.6,"Nov 16 to 18"
"137","9018.3","9018","Drought","11/16","LWP",9.5,"Nov 16 to 18"
"138","9018.8","9018","Control","11/16","LWP",10,"Nov 16 to 18"
"139","9031.4","9031","Drought","11/16","LWP",11.5,"Nov 16 to 18"
"140","9031.7","9031","Control","11/16","LWP",14.7,"Nov 16 to 18"
"141","9035.2","9035","Drought","11/16","LWP",11,"Nov 16 to 18"
"142","9035.7","9035","Control","11/16","LWP",11.4,"Nov 16 to 18"
"143","b40-14.2","b40-14","Drought","11/16","LWP",13.3,"Nov 16 to 18"
"144","b40-14.6","b40-14","Control","11/16","LWP",12.5,"Nov 16 to 18"
"145","b42-34.1","b42-34","Drought","11/16","LWP",13.2,"Nov 16 to 18"
"146","b42-34.9","b42-34","Control","11/16","LWP",11.4,"Nov 16 to 18"
"147","NY1.5","NY1","Drought","11/16","LWP",11,"Nov 16 to 18"
"148","NY1.9","NY1","Control","11/16","LWP",13,"Nov 16 to 18"
"149","SC2.9","SC2","Drought","11/16","LWP",9.6,"Nov 16 to 18"
"150","T48.2","T48","Drought","11/16","LWP",8.3,"Nov 16 to 18"
"151","T48.6","T48","Control","11/16","LWP",11.1,"Nov 16 to 18"
"152","T52.1","T52","Drought","11/16","LWP",8.4,"Nov 16 to 18"
"153","T52.6","T52","Control","11/16","LWP",12.6,"Nov 16 to 18"
"154","TX6704.3","TX6704","Drought","11/16","LWP",13,"Nov 16 to 18"
"155","TX6704.9","TX6704","Control","11/16","LWP",13.9,"Nov 16 to 18"
"156","TXNM0821.3","TXNM0821","Drought","11/16","LWP",10,"Nov 16 to 18"
"157","TXNM0821.7","TXNM0821","Control","11/16","LWP",8.2,"Nov 16 to 18"
"158","V60-96.7","V60-96","Control","11/16","LWP",9,"Nov 16 to 18"
"159","Vru42.5","Vru42","Drought","11/16","LWP",11,"Nov 16 to 18"
"160","9018.10","9018","Control","11/16","LWP",10.3,"Nov 16 to 18"
"161","9018.4","9018","Drought","11/16","LWP",7.4,"Nov 16 to 18"
"162","9035.8","9035","Control","11/16","LWP",10.1,"Nov 16 to 18"
"163","b40-14.3","b40-14","Drought","11/16","LWP",11,"Nov 16 to 18"
"164","b40-14.9","b40-14","Control","11/16","LWP",13.3,"Nov 16 to 18"
"165","b42-34.10","b42-34","Control","11/16","LWP",11.1,"Nov 16 to 18"
"166","SC2.4","SC2","Drought","11/16","LWP",8.5,"Nov 16 to 18"
"167","TX6704.5","TX6704","Drought","11/16","LWP",10.5,"Nov 16 to 18"
"168","TXNM0821.2","TXNM0821","Drought","11/16","LWP",8.2,"Nov 16 to 18"
"169","Vru42.8","Vru42","Control","11/16","LWP",11.9,"Nov 16 to 18"
"170","9031.9","9031","Control","11/17","LWP",10.1,"Nov 16 to 18"
"171","9035.1","9035","Drought","11/17","LWP",10,"Nov 16 to 18"
"172","NY1.2","NY1","Drought","11/17","LWP",8.9,"Nov 16 to 18"
