"","X","ID","Treatment","ID.Order","Genotype","Species","Block","Date","pd_pot","md_pot","pd_pot_als","harvest_sm","GWC_top","GWC_bottom","stem_diam","canopy_biomass","perc_canopy","dry_root_bag","bag_tare","root_biomass","perc_root","root_g","total_root_length","sys_area","surface_area","srl","srsa","exud_time","exud","exud_flow","exud_gg","exp","species_geno"
"31",47,"9018.9","Control",9,"9018","V. acerifolia",4,"12/17",9,"14.2",8.67,NA,0.372200999,0.38259686,6.84,76.1,0.75,"32.7419",7.1611,25.5808,0.25,25.5808,8498.085111,18397.90396,3972.405552,332.21,"155.29",NA,"",NA,NA,NA,"V. acerifolia_9018"
"32",117,"b40-14.1","Drought",101,"b40-14","V. arizonica",1,"12/11",26,"15.7",17.43,NA,0.138235515,0.117964816,NA,24.9,0.7,"17.6694",7.1611,10.5083,0.3,10.5083,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"33",118,"b40-14.10","Control",110,"b40-14","V. arizonica",1,"12/11",7,"10.4",10.9,NA,0.292427575,0.403658779,NA,90.8,0.88,"19.7225",7.1611,12.5614,0.12,12.5614,3943.59,NA,NA,313.94,"#REF!",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"34",119,"b40-14.10","Control",110,"b40-14","V. arizonica",1,"12/11",7,"10.4",10.9,NA,0.292427575,0.403658779,NA,90.8,0.88,"19.7225",7.1611,12.5614,0.12,12.5614,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"35",120,"b40-14.2","Drought",102,"b40-14","V. arizonica",2,"12/15",7,"14.5",NA,NA,0.126773816,0.084098014,4.9,21,0.77,"13.40175",7.1611,6.2407,0.23,6.2407,7444.718083,19616.55212,2691.551253,1192.93,"431.29",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"36",121,"b40-14.2","Drought",102,"b40-14","V. arizonica",2,"12/15",7,"14.5",NA,NA,0.126773816,0.084098014,4.9,21,0.77,"13.40175",7.1611,6.2407,0.23,6.2407,4807.552566,11393.99362,1917.897103,770.36,"307.32",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"37",122,"b40-14.2","Drought",102,"b40-14","V. arizonica",2,"12/15",7,"14.5",NA,NA,0.126773816,0.084098014,4.9,21,0.77,"13.40175",7.1611,6.2407,0.23,6.2407,1692.385872,4471.051554,659.436844,271.19,"105.67",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"38",123,"b40-14.2","Drought",102,"b40-14","V. arizonica",2,"12/15",7,"14.5",NA,NA,0.126773816,0.084098014,4.9,21,0.77,"13.40175",7.1611,6.2407,0.23,6.2407,1458.117231,3263.279231,543.17164,233.65,"87.04",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"39",124,"b40-14.2","Drought",102,"b40-14","V. arizonica",2,"12/15",7,"14.5",NA,NA,0.126773816,0.084098014,4.9,21,0.77,"13.40175",7.1611,6.2407,0.23,6.2407,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"40",125,"b40-14.3","Drought",103,"b40-14","V. arizonica",3,"12/16",6,"11.2",14.1,NA,0.090640638,0.069041349,5.18,33.1,0.83,"14.05343",7.1611,6.8924,0.17,6.8924,2076.357849,4832.562935,821.679745,301.25,"119.22",164,"0.0378",2e-04,0.0055,NA,"V. arizonica_b40-14"
"41",126,"b40-14.3","Drought",103,"b40-14","V. arizonica",3,"12/16",6,"11.2",14.1,NA,0.090640638,0.069041349,5.18,33.1,0.83,"14.05343",7.1611,6.8924,0.17,6.8924,3604.699953,8812.983011,1431.221527,523,"207.65",164,"0.0378",2e-04,0.0055,NA,"V. arizonica_b40-14"
"42",127,"b40-14.3","Drought",103,"b40-14","V. arizonica",3,"12/16",6,"11.2",14.1,NA,0.090640638,0.069041349,5.18,33.1,0.83,"14.05343",7.1611,6.8924,0.17,6.8924,5735.01582,12200.2442,2681.325047,832.08,"389.03",164,"0.0378",2e-04,0.0055,NA,"V. arizonica_b40-14"
