"","ID","Genotype","Treatment","Date","LWP","SWP","PD","LWP.area","SWP.area","PD.area","species_geno"
"85","NY1.1","NY1","Drought",11.16,"12,900",NA,NA,49.27194444,NA,NA,"NY1"
"86","NY1.6","NY1","Control",11.16,"12,300",NA,NA,43.54118056,NA,NA,"NY1"
"87","T48.4","T48","Drought",11.16,"9,400",NA,NA,73.28659722,NA,NA,"T48"
"88","T48.7","T48","Control",11.16,"12,000",NA,NA,51.755,NA,NA,"T48"
"89","T52.3","T52","Drought",11.16,"12,300",NA,NA,35.34625,NA,NA,"T52"
"90","T52.7","T52","Control",11.16,"10,200",NA,NA,51.18833333,NA,NA,"T52"
"91","TXNM0821.4","TXNM0821","Drought",11.16,"9,000",NA,NA,69.32284722,NA,NA,"TXNM0821"
"92","V60-96.3","V60-96","Drought",11.16,"11,000",NA,NA,71.74368056,NA,NA,"V60-96"
"93","Vru42.1","Vru42","Drought",11.16,"11,800",NA,NA,32.60020833,NA,NA,"Vru42"
"94","Vru42.10","Vru42","Control",11.16,"13,600",NA,NA,32.46743056,NA,NA,"Vru42"
"95","9018.3","9018","Drought",11.16,"9,500",NA,NA,59.73166667,NA,NA,"9018"
"96","9018.8","9018","Control",11.16,"10,000",NA,NA,55.40881944,NA,NA,"9018"
"97","b40-14.2","b40-14","Drought",11.16,"13,300",NA,NA,52.355,NA,NA,"b40-14"
"98","b40-14.6","b40-14","Control",11.16,"12,500",NA,NA,42.77875,NA,NA,"b40-14"
"99","b42-34.1","b42-34","Drought",11.16,"13,200",NA,NA,48.89791667,NA,NA,"b42-34"
"100","b42-34.9","b42-34","Control",11.16,"11,400",NA,NA,49.47229167,NA,NA,"b42-34"
"101","NY1.5","NY1","Drought",11.16,"11,000",NA,NA,46.86118056,NA,NA,"NY1"
"102","NY1.9","NY1","Control",11.16,"13,000",NA,NA,57.08729167,NA,NA,"NY1"
"103","T48.2","T48","Drought",11.16,"8,300",NA,NA,63.34069444,NA,NA,"T48"
"104","T48.6","T48","Control",11.16,"11,100",NA,NA,96.29986111,NA,NA,"T48"
"105","T52.1","T52","Drought",11.16,"8,400",NA,NA,59.85166667,NA,NA,"T52"
"106","T52.6","T52","Control",11.16,"12,600",NA,NA,42.52909722,NA,NA,"T52"
"107","TXNM0821.3","TXNM0821","Drought",11.16,"10,000",NA,NA,50.38444444,NA,NA,"TXNM0821"
"108","TXNM0821.7","TXNM0821","Control",11.16,"8,200",NA,NA,61.72638889,NA,NA,"TXNM0821"
"109","V60-96.7","V60-96","Control",11.16,"9,000",NA,NA,19.70048611,NA,NA,"V60-96"
"110","Vru42.5","Vru42","Drought",11.16,"11,000",NA,NA,33.80770833,NA,NA,"Vru42"
"111","9018.10","9018","Control",11.16,"10,300",NA,NA,61.45875,NA,NA,"9018"
"112","9018.4","9018","Drought",11.16,"7,400",NA,NA,45.71479167,NA,NA,"9018"
"113","b40-14.3","b40-14","Drought",11.16,"11,000",NA,NA,46.81013889,NA,NA,"b40-14"
