"","ID","Genotype","Treatment","Species","species_geno","sumwu","canopy_biomass","root_biomass","TotalLeafArea","canopy_wu","root_wu","Leafarea_wu"
"161","TXNM0821.3","TXNM0821","Drought","riparia","riparia_TXNM0821",3.41887349016667,16.7,8.5535,1742.87,4.88464988483264,2.50184747245006,509.779026633429
"162","TXNM0821.4","TXNM0821","Drought","riparia","riparia_TXNM0821",4.2968340295,16.1,9.3114,NA,3.7469448178508,2.1670373898718,NA
"163","TXNM0821.4","TXNM0821","Drought","riparia","riparia_TXNM0821",4.2968340295,16.1,9.3114,NA,3.7469448178508,2.1670373898718,NA
"164","TXNM0821.4","TXNM0821","Drought","riparia","riparia_TXNM0821",4.2968340295,16.1,9.3114,NA,3.7469448178508,2.1670373898718,NA
"165","TXNM0821.5","TXNM0821","Control","riparia","riparia_TXNM0821",9.8098328694,52.9,13.4268,5713.422256,5.39254854840718,1.36870833364373,582.417899679207
"166","TXNM0821.5","TXNM0821","Control","riparia","riparia_TXNM0821",9.8098328694,52.9,13.4268,5713.422256,5.39254854840718,1.36870833364373,582.417899679207
"167","TXNM0821.5","TXNM0821","Control","riparia","riparia_TXNM0821",9.8098328694,52.9,13.4268,5713.422256,5.39254854840718,1.36870833364373,582.417899679207
"168","TXNM0821.5","TXNM0821","Control","riparia","riparia_TXNM0821",9.8098328694,52.9,13.4268,5713.422256,5.39254854840718,1.36870833364373,582.417899679207
"169","TXNM0821.6","TXNM0821","Control","riparia","riparia_TXNM0821",6.5762590524,45.9,12.6397,NA,6.97965205358643,1.92201978347966,NA
"170","TXNM0821.7","TXNM0821","Control","riparia","riparia_TXNM0821",10.8141685234,52.8,18.1925,5499.96894,4.88248355717316,1.68228375215668,508.589165047596
"171","TXNM0821.8","TXNM0821","Drought","riparia","riparia_TXNM0821",4.71869475416667,24.8,14.7125,2165.060221,5.25569067126058,3.11791729842425,458.826080896253
"172","TXNM0821.9","TXNM0821","Control","riparia","riparia_TXNM0821",9.8617567316,56.8,19.7714,5701.947288,5.75962290957715,2.00485578159179,578.187785724755
"173","TXNM0821.9","TXNM0821","Control","riparia","riparia_TXNM0821",9.8617567316,56.8,19.7714,5701.947288,5.75962290957715,2.00485578159179,578.187785724755
"174","TXNM0821.9","TXNM0821","Control","riparia","riparia_TXNM0821",9.8617567316,56.8,19.7714,5701.947288,5.75962290957715,2.00485578159179,578.187785724755
"175","V60-96.1","V60-96","Drought","vulpina","vulpina_V60-96",0.320456685499999,1.1,4.9356,156.64,3.43260119002886,15.4017694850058,488.802409460109
"176","V60-96.10","V60-96","Control","vulpina","vulpina_V60-96",5.3455626734,33.2,NA,NA,6.21075872240844,NA,NA
"177","V60-96.2","V60-96","Drought","vulpina","vulpina_V60-96",1.70631917416667,2.3,NA,271.82,1.34793070066933,NA,159.30196654606
"178","V60-96.3","V60-96","Drought","vulpina","vulpina_V60-96",1.9059616995,7.5,NA,NA,3.93502136059057,NA,NA
"179","V60-96.4","V60-96","Drought","vulpina","vulpina_V60-96",2.70401973016667,10.5,NA,NA,3.88310776096031,NA,NA
"180","V60-96.5","V60-96","Drought","vulpina","vulpina_V60-96",0.855571263166667,2.4,NA,NA,2.80514330403881,NA,NA
"181","V60-96.6","V60-96","Control","vulpina","vulpina_V60-96",4.4566147636,25.1,NA,3941.207589,5.63207755918407,NA,884.350072433979
"182","V60-96.7","V60-96","Control","vulpina","vulpina_V60-96",7.8041610956,41.6,5.9905,6372.029907,5.3304896567876,0.767603324254474,816.491334423192
"183","V60-96.8","V60-96","Control","vulpina","vulpina_V60-96",4.6493279956,15.4,NA,NA,3.31230664185752,NA,NA
"184","V60-96.9","V60-96","Control","vulpina","vulpina_V60-96",8.4673718654,46,NA,7065.503614,5.43261837689787,NA,834.438799466406
"185","Vru42.1","Vru42","Drought","rupestris","rupestris_Vru42",4.4382713555,14.4,17.4022,NA,3.24450644103931,3.92094097140654,NA
"186","Vru42.1","Vru42","Drought","rupestris","rupestris_Vru42",4.4382713555,14.4,17.4022,NA,3.24450644103931,3.92094097140654,NA
"187","Vru42.1","Vru42","Drought","rupestris","rupestris_Vru42",4.4382713555,14.4,17.4022,NA,3.24450644103931,3.92094097140654,NA
"188","Vru42.10","Vru42","Control","rupestris","rupestris_Vru42",9.6422367704,45,22.0371,NA,4.66696691561674,2.28547592480306,NA
"189","Vru42.2","Vru42","Drought","rupestris","rupestris_Vru42",3.92220543216667,12.8,17.1116,1315.46,3.26347006075333,4.36274955403021,335.387837978014
"190","Vru42.2","Vru42","Drought","rupestris","rupestris_Vru42",3.92220543216667,12.8,17.1116,1315.46,3.26347006075333,4.36274955403021,335.387837978014
"191","Vru42.2","Vru42","Drought","rupestris","rupestris_Vru42",3.92220543216667,12.8,17.1116,1315.46,3.26347006075333,4.36274955403021,335.387837978014
"192","Vru42.2","Vru42","Drought","rupestris","rupestris_Vru42",3.92220543216667,12.8,17.1116,1315.46,3.26347006075333,4.36274955403021,335.387837978014
"193","Vru42.2","Vru42","Drought","rupestris","rupestris_Vru42",3.92220543216667,12.8,17.1116,1315.46,3.26347006075333,4.36274955403021,335.387837978014
"194","Vru42.3","Vru42","Drought","rupestris","rupestris_Vru42",5.77199559016667,18.8,16.707,2096.875459,3.25710574554634,2.89449285589589,363.284314106597
"195","Vru42.4","Vru42","Drought","rupestris","rupestris_Vru42",3.2154282725,9.8,15.2759,NA,3.04780550815412,4.75081348591955,NA
