"","X","ID","Genotype","Species","Treatment","Order.within.block","mPot..kg.","Dry.weight.of.soil..kg.","mH2O..kg.","Date","PWW","WA","BB","TW","POWW","PD.WT","midday.WT","POWW.NOTES","WU","tgt_swc","SWC","species_geno","PSWC","POSWC"
"72",72,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/30",4.62,0.349539462,1,4.969539462,4.96,NA,NA,NA,0.3387,0.3,0.250169532410312,"acerifolia_9018",0.688319427890346,0.738974970202622
"73",73,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"12/02",4.71,0.259539462,1,4.969539462,4.71,NA,NA,NA,0.21815,0.3,0.245951359409113,"acerifolia_9018",0.701728247914184,0.701728247914184
"74",74,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"12/04",4.56,0.160616528,1,4.720616527,4.73,NA,NA,NA,0.11815,0.2,0.16560520718609,"acerifolia_9018",0.67938021454112,0.704707985697259
"75",75,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"12/07",4.5,5.023597029,1,4.720616527,5.02,NA,NA,NA,0.0820000000000004,0.2,0.157570592126489,"acerifolia_9018",0.670441001191895,0.747914183551847
"76",76,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"12/09",4.74,0.283597029,1,4.969539462,5.03,NA,NA,NA,0.193999999999999,0.3,0.264029243880747,"acerifolia_9018",0.706197854588796,0.749404052443385
"77",77,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"12/14",4.73,0.239539462,1,4.969539462,4.96,NA,NA,NA,0.196666666666666,0.3,0.251884814698559,"acerifolia_9018",0.704707985697259,0.738974970202622
"78",78,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"10/28",6.392,0.311309192,1,6.703309192,NA,NA,NA,NA,0.18151114175,0.8,0.641352707039825,"acerifolia_9018",0.882629107981221,0.882629107981221
"79",79,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"10/30",6.304,0.399309192,1,6.703309192,NA,NA,NA,NA,0.25401114175,0.8,0.668084182297049,"acerifolia_9018",0.870477768572218,0.870477768572218
"80",80,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/06",5.737,0.158272981,1,5.895272981,5.8955,NA,NA,NA,0.0904999999999995,0.5,0.483655566286795,"acerifolia_9018",0.792184479425573,0.814070698702016
"81",81,"9018.5","9018","acerifolia","Drought",29,7.242,4.296545961,2.693454039,"11/09",5.4315,0.463772981,1,5.895272981,5.895,NA,NA,NA,0.274,0.5,0.413949531848685,"acerifolia_9018",0.75,0.814001657000828
