ID,Genotype,Species,Treatment,Order within block,m`Pot (kg),Dry weight of soil (kg),m`H2O (kg),10/23 Pre Watering Weight (kg),10/23 Water added for 80%SW,10/26 Pre Watering Weight,10/26 Water added for 80%SW,mpot @ 80% SW,10/28 pre water weight,10/28 Water added for 80%SW,mpot @ 80% SW,10/30 pre water weight,10/30 Water added for 80%SW,88,11/2 pre water weight,11/2 Water added for 80%SW,mpot @ 80% SW,11/2 post water weight,11/4 pre water,11/4 Water added,mpot target weight (80% for control and 50% for treatment),11/4 post water,11/6 pre water,11/6 water added,mpot target,11/6 post water,11/9 pre water,11/9 water added,mpot target,11/9 post water,11/11 pre water weight,11/11 water added,11/11 target weights,11/11 post water weight,11/13 pre water weight,11/13 water added,11/13 target weight,11/13 post water weight,11/15 control drained weight,11/16 pre water weight,11/16 water added,11/16 target weight,11/16 post water weight,11/18 pre water weight,11/18 water added,11/18 target weight,11/18 post water,11/20 pre water weight,11/20 water added,11/20 target weight,11/20 post water weight,11/23 pre water weight,11/23 water added,11/23 target weight,11/23 post water weight,11/25 pre water weight,11/25 water added,11/25 target weight,11/25 post water weight,11/27 pre water weight,11/27 water added,11/27 target weight,11/27 post water weight,11/30 pre water weight,11/30 water added,11/30 target weight,11/30 post water weight,12/2 pre water weight,12/2 water added,12/2 target weight,12/2 post water weight,12/4 pre water weight,12/4 water added,12/4 target weight,12/4 post water weight,12/7 pre water weight,12/7 water added,12/7 target weight,12/7 corrected target weights 90/20,12/9 pre water weight,12/9 water added,12/9 target weight,12/9 corrected target weights 90/20,12/9 post water weight,12/9 rewater Pre water weight,12/9 rewater water needed,12/9 Treatment rewater to 30%,12/9 rewater post water weight,12/11 pre-water weight,12/11 water added,12/11 target weights,12/11 post-water weight,12/11 Pre-Dawn Bench 1 Pot Weights,midday pot weights,12/13 pre-water weight,12/13 water added,12/13 target weight,12/13 post-water weight,Notes,12/14 pre-water weight,12/14 water added,12/14 target weight,12/14 post water weight,12/15 midday weight,12/15 Pre water weight,12/15 target weight,12/15 post water weight,12/16 pre-water weight,12/16 water added,12/16 target weight,12/16 post-water weight,12/16 Pre Dawn Pot Weights,12/16 midday weight,12/17 Pre Dawn Pot Weights,12/17 pre water weight,12/17 target weight,12/17 post water weight,12/18 Pre Dawn Pot Weights,12/18 Mid Day weight,,,
CC12.9,CC12,californica,Control,12,6.854,4.058053853,2.543946147,5.491,0.854210771,5.626,0.719210771,6.345210771,5.678,0.667210771,6.345210771,5.685,0.660210771,6.345210771,5.434,0.911210771,6.345210771,6.3485,5.701,0.644210771,6.345210771,6.355,5.6565,0.688710771,6.345210771,6.3475,5.13,1.215210771,6.345210771,6.357,5.55,0.795210771,6.345210771,6.36,5.47,0.875210771,6.345210771,6.34,7.044,6.92,-0.574789229,6.345210771,,5.84,0.759605385,6.599605385,6.59,5.22,1.379605385,6.599605385,6.59,5.192,1.407605385,6.599605385,6.625,5.41,1.189605385,6.599605385,6.59,5.3365,1.263105385,6.599605385,6.6005,6.03,0.569605385,6.599605385,6.59,5.91,0.689605385,6.599605385,6.59,5.71,0.889605385,6.599605385,6.6,6.0105,6.851509749,6.851509749,6.410210771,5.88,0.971509749,6.851509749,6.410210771,6.85,,-0.217894615,6.632105385,,,,,,6.35,6.0465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V57-96.10,V57-96,vulpina,Control,13,7.472,4.437920149,2.782079851,6.329,0.58658403,6.4365,0.47908403,6.91558403,6.5435,0.37208403,6.91558403,6.5605,0.35508403,6.91558403,6.553,0.36258403,6.91558403,6.9875,6.6965,0.21908403,6.91558403,6.91,6.646,0.26958403,6.91558403,6.916,6.386,0.52958403,6.91558403,6.9135,6.62,0.29558403,6.91558403,6.91,6.6,0.31558403,6.91558403,6.91,7.691,7.62,-0.70441597,6.91558403,,7.29,-0.096207985,7.193792015,,6.84,0.353792015,7.193792015,7.19,6.577,0.616792015,7.193792015,7.205,6.68,0.513792015,7.193792015,7.2,6.631,0.562792015,7.193792015,7.219,7.12,0.073792015,7.193792015,7.2,7.18,0.013792015,7.193792015,7.19,7.09,0.103792015,7.193792015,7.21,7.14,6.91304364,6.91304364,6.91558403,7.11,-0.19695636,6.91304364,6.91558403,7.11,,0.083792015,7.193792015,,,,,,7.25,7.1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY1.1,NY1,riparia,Drought,14,7.116,4.219097493,2.644902507,6.0285,0.558519499,6.0925,0.494519499,6.587019499,6.188,0.399019499,6.587019499,6.09,0.497019499,6.587019499,6.105,,Dont Water Today,,5.8475,-0.053951253,5.793548747,5.8475,5.6105,0.183048747,5.793548747,5.7995,5.3165,0.477048747,5.793548747,5.854,5.56,-0.030941504,5.529058496,,5.33,-0.065431755,5.264568245,,,4.98,0.284568245,5.264568245,5.26,,5.264568245,5.264568245,,4.84,0.424568245,5.264568245,5.29,4.911,0.353568245,5.264568245,5.2895,4.94,0.324568245,5.264568245,5.29,4.9505,0.314068245,5.264568245,5.2715,4.8,0.464568245,5.264568245,5.26,4.9,0.364568245,5.264568245,4.9,4.68,0.320077994,5.000077994,5,4.667,5.373615599,5.373615599,5.032577994,5.01,0.363615599,5.373615599,5.032577994,5.37,5.26,-0.105431755,5.264568245,5.26,,,,,5.02,4.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b40-14.10,b40-14,arizonica,Control,15,7.18,4.258436397,2.669563603,5.542,1.104087279,5.6015,1.044587279,6.646087279,5.85,0.796087279,6.646087279,5.7825,0.863587279,6.646087279,5.581,1.065087279,6.646087279,6.697,5.8625,0.783587279,6.646087279,6.642,5.806,0.840087279,6.646087279,6.6425,5.502,1.144087279,6.646087279,6.6435,5.89,0.756087279,6.646087279,6.64,5.81,0.836087279,6.646087279,6.66,7.1895,7,-0.353912721,6.646087279,,,6.91304364,6.91304364,,6.47,0.44304364,6.91304364,6.92,5.9475,0.96554364,6.91304364,6.9315,5.99,0.92304364,6.91304364,6.94,5.8965,1.01654364,6.91304364,6.95,6.39,0.52304364,6.91304364,6.92,6.61,0.30304364,6.91304364,6.91,6.17,0.74304364,6.91304364,6.92,6.692,6.955348189,6.955348189,6.678587279,6.6,0.355348189,6.955348189,6.678587279,6.95,,-0.03695636,6.91304364,,,,,,7.04,6.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V60-96.3,V60-96,vulpina,Drought,16,7.656,4.551019499,2.852980501,6.617,0.4684039,6.687,0.3984039,7.0854039,6.724,0.3614039,7.0854039,6.7325,0.3529039,7.0854039,6.6545,,Dont Water Today,,6.4645,-0.234990251,6.229509749,6.4645,6.274,-0.044490251,6.229509749,6.274,5.962,0.267509749,6.229509749,6.234,6.01,-0.065788301,5.944211699,,5.85,-0.191086351,5.658913649,,,5.67,-0.011086351,5.658913649,5.67,,5.658913649,5.658913649,,,5.658913649,5.658913649,,6.293,-0.634086351,5.658913649,6.578,6.22,-0.561086351,5.658913649,6.22,5.973,-0.314086351,5.658913649,5.973,5.67,-0.011086351,5.658913649,5.67,5.53,0.128913649,5.658913649,5.53,5.39,-0.016384401,5.373615599,,5.2475,4.896317549,4.896317549,5.373615599,5.17,-0.273682451,4.896317549,5.373615599,5.17,5.15,0.488913649,5.658913649,5.67,,,,,5.489,5.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT12-075.6,UT12-075,girdiana,Control,17,7.224,4.285481894,2.686518106,5.929,0.757696379,6.204,0.482696379,6.686696379,6.161,0.525696379,6.686696379,6.185,0.501696379,6.686696379,6.081,0.605696379,6.686696379,6.902,6.4875,0.199196379,6.686696379,6.712,6.292,0.394696379,6.686696379,6.687,5.9935,0.693196379,6.686696379,6.7095,6.25,0.436696379,6.686696379,6.68,6.23,0.456696379,6.686696379,6.68,7.626,7.52,-0.833303621,6.686696379,,7.07,-0.114651811,6.955348189,,6.4,0.555348189,6.955348189,6.95,6.138,0.817348189,6.955348189,6.9675,6.2,0.755348189,6.955348189,6.95,6.1665,0.788848189,6.955348189,6.974,6.85,0.105348189,6.955348189,6.96,7.05,-0.094651811,6.955348189,7.05,6.68,0.275348189,6.955348189,6.97,6.793,7.282246982,7.282246982,6.686696379,6.9,0.382246982,7.282246982,6.686696379,7.29,,-0.334651811,6.955348189,,,,,,7.2165,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9025.3,9025,cinerea,Drought,18,6.966,4.126896936,2.587103064,5.946,0.502579387,6.103,0.345579387,6.448579387,6.1675,0.281079387,6.448579387,6.136,0.312579387,6.448579387,6.065,,Dont Water Today,,5.856,-0.183551532,5.672448468,5.856,5.6605,0.011948468,5.672448468,5.677,5.357,0.315448468,5.672448468,5.673,5.47,-0.056261838,5.413738162,,5.29,-0.134972145,5.155027855,,,5.06,0.095027855,5.155027855,5.15,5.01,0.145027855,5.155027855,5.18,4.92,0.235027855,5.155027855,5.16,4.882,0.273027855,5.155027855,5.1835,4.91,0.245027855,5.155027855,5.18,4.9265,0.228527855,5.155027855,5.2075,4.84,0.315027855,5.155027855,5.15,4.92,0.235027855,5.155027855,4.92,4.76,0.136317549,4.896317549,4.91,4.6895,5.32104364,5.32104364,4.896317549,5.05,0.27104364,5.32104364,4.896317549,5.32,,-0.164972145,5.155027855,5.15,,,,,5.07,5.0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9031.5,9031,berlandieri,Drought,19,7.564,4.494469824,2.817530176,6.154,0.846493965,6.2825,0.717993965,7.000493965,6.3796,0.620893965,7.000493965,6.37,0.630493965,7.000493965,6.118,,Dont Water Today,,5.689,0.466234912,6.155234912,6.1505,5.7025,0.452734912,6.155234912,6.151,5.4045,0.750734912,6.155234912,6.1555,5.66,0.213481894,5.873481894,5.87,5.46,0.131728877,5.591728877,,,5.08,0.511728877,5.591728877,5.59,5.28,0.311728877,5.591728877,5.6,5.17,0.421728877,5.591728877,5.59,5.148,0.443728877,5.591728877,5.627,5.21,0.381728877,5.591728877,5.59,5.206,0.385728877,5.591728877,5.631,5.14,0.451728877,5.591728877,5.6,5.28,0.311728877,5.591728877,5.28,5.07,0.239975859,5.309975859,5.3,4.996,5.000077994,5.000077994,5.309975859,4.92,0.080077994,5.000077994,5.309975859,5,4.97,0.591728877,5.591728877,5.65,,,,,5.27,5.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b42-24.1,b42-24,peninsularis,Drought,20,7.58,4.50430455,2.82369545,6.2095,0.80576091,6.32,0.69526091,7.01526091,6.423,0.59226091,7.01526091,6.3655,0.64976091,7.01526091,6.0845,,Dont Water Today,,5.689,0.479152275,6.168152275,6.164,5.751,0.417152275,6.168152275,6.166,5.463,0.705152275,6.168152275,6.174,5.69,0.19578273,5.88578273,5.9,5.49,0.113413185,5.603413185,,,5.09,0.513413185,5.603413185,5.6,5.27,0.333413185,5.603413185,5.61,5.1,0.503413185,5.603413185,5.62,5.101,0.502413185,5.603413185,5.67,5.23,0.373413185,5.603413185,5.61,5.196,0.407413185,5.603413185,5.685,5.11,0.493413185,5.603413185,5.61,5.21,0.393413185,5.603413185,5.21,4.99,0.33104364,5.32104364,5.33,4.9695,5.204128598,5.204128598,5.35354364,4.97,0.234128598,5.204128598,5.35354364,5.2,5.13,0.403413185,5.603413185,5.6,,,,,5.2,5.1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9018.6,9018,acerifolia,Control,21,7.116,4.219097493,2.644902507,6.0455,0.541519499,6.1735,0.413519499,6.587019499,6.19,0.397019499,6.587019499,6.218,0.369019499,6.587019499,6.1205,0.466519499,6.587019499,6.5875,6.2795,0.307519499,6.587019499,6.592,6.286,0.301019499,6.587019499,6.5815,5.9565,0.630519499,6.587019499,6.6005,6.14,0.447019499,6.587019499,6.58,6.19,0.397019499,6.587019499,6.59,7.38,7.27,-0.682980501,6.587019499,,,6.851509749,6.851509749,,6.75,0.101509749,6.851509749,6.96,6.498,0.353509749,6.851509749,6.97,6.31,0.541509749,6.851509749,6.95,6.298,0.553509749,6.851509749,6.8715,6.66,0.191509749,6.851509749,6.85,6.8,0.051509749,6.851509749,6.86,6.54,0.311509749,6.851509749,6.86,6.615,6.595759517,6.595759517,6.619519499,6.4,0.195759517,6.595759517,6.619519499,6.59,,0.261509749,6.851509749,,,,,,6.71,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b42-34.2,b42-34,cinerea,Drought,22,7.364,4.371535748,2.740464252,5.9175,0.89840715,6.1235,0.69240715,6.81590715,6.2525,0.56340715,6.81590715,6.218,0.59790715,6.81590715,6.004,,Dont Water Today,,5.6065,0.387267874,5.993767874,6,5.6065,0.387267874,5.993767874,5.9935,5.362,0.631767874,5.993767874,6.0145,5.55,0.169721449,5.719721449,5.72,5.39,0.055675023,5.445675023,,,5.09,0.355675023,5.445675023,5.44,,5.445675023,5.445675023,,5.05,0.395675023,5.445675023,5.44,5.142,0.303675023,5.445675023,5.496,4.99,0.455675023,5.445675023,5.44,5.133,0.312675023,5.445675023,5.5025,5.08,0.365675023,5.445675023,5.45,5.18,0.265675023,5.445675023,5.18,5.03,0.141628598,5.171628598,5.18,4.958,5.260170845,5.260170845,5.204128598,5.04,0.220170845,5.260170845,5.204128598,5.28,5.23,0.198175023,5.478175023,5.5,,,,,5.28,5.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCK1-S02.10,OCK1-S02,acerifolia,Control,23,6.85,4.055595172,2.542404828,5.7325,0.609019034,5.8675,0.474019034,6.341519034,5.952,0.389519034,6.341519034,5.83,0.511519034,6.341519034,5.7895,0.552019034,6.341519034,6.3875,5.9125,0.429019034,6.341519034,6.36,5.914,0.427519034,6.341519034,6.3405,5.4105,0.931019034,6.341519034,6.3625,5.64,0.701519034,6.341519034,6.34,5.7,0.641519034,6.341519034,6.34,6.876,6.75,-0.408480966,6.341519034,,5.96,0.635759517,6.595759517,6.6,,6.595759517,6.595759517,,4.733,1.862759517,6.595759517,6.594,5.43,1.165759517,6.595759517,6.59,5.2635,1.332259517,6.595759517,6.6305,5.95,0.645759517,6.595759517,6.59,6.15,0.445759517,6.595759517,6.61,5.62,0.975759517,6.595759517,6.6,5.739,6.686137419,6.686137419,6.374019034,5.85,0.836137419,6.686137419,6.374019034,6.69,,-0.094240483,6.595759517,,,,,,6.3175,5.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX6704.1,TX6704,monticola,Drought,24,7.492,4.450213556,2.789786444,6.3885,0.545542711,6.0675,0.866542711,6.934042711,6.575,0.359042711,6.934042711,6.501,0.433042711,6.934042711,6.322,,Dont Water Today,,6.0255,0.071606778,6.097106778,6.0955,5.844,0.253106778,6.097106778,6.095,5.663,0.434106778,6.097106778,6.0995,5.76,0.058128134,5.818128134,5.88,5.59,-0.050850511,5.539149489,,,5.29,0.249149489,5.539149489,5.53,,5.539149489,5.539149489,,5.15,0.389149489,5.539149489,5.53,5.231,0.308149489,5.539149489,5.409,5.18,0.359149489,5.539149489,5.54,5.2475,0.291649489,5.539149489,5.576,5.17,0.369149489,5.539149489,5.53,5.26,0.279149489,5.539149489,5.26,5.08,0.180170845,5.260170845,5.28,5.0505,5.128740947,5.128740947,5.260170845,5,0.128740947,5.128740947,5.260170845,5.12,5.08,0.419149489,5.539149489,5.54,,,,,5.261,5.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
