"","ID","Genotype","Treatment","Date","LWP.area","species_geno","SWP.area","PD.area","WPType","WP"
"143","2214.4.5","2214.4","Drought","11/16-17",33.873125,"2214.4",NA,NA,"LWP",9.7
"144","2214.4.5","2214.4","Drought","11/16-17",33.873125,"2214.4",NA,NA,"PD",NA
"145","2214.4.5","2214.4","Drought","12/01-02",33.95479167,"2214.4",NA,NA,"SWP",NA
"146","2214.4.5","2214.4","Drought","12/01-02",33.95479167,"2214.4",NA,NA,"LWP",11
"147","2214.4.5","2214.4","Drought","12/01-02",33.95479167,"2214.4",NA,NA,"PD",NA
"148","2214.4.5","2214.4","Drought","12/11-18",33.61104167,"2214.4",NA,26.37201389,"SWP",NA
"149","2214.4.5","2214.4","Drought","12/11-18",33.61104167,"2214.4",NA,26.37201389,"LWP",13
"150","2214.4.5","2214.4","Drought","12/11-18",33.61104167,"2214.4",NA,26.37201389,"PD",11.3
"151","2214.4.6","2214.4","Control","11/01",58.35277778,"2214.4",NA,NA,"SWP",NA
"152","2214.4.6","2214.4","Control","11/01",58.35277778,"2214.4",NA,NA,"LWP",13.1
"153","2214.4.6","2214.4","Control","11/01",58.35277778,"2214.4",NA,NA,"PD",NA
"154","2214.4.6","2214.4","Control","11/16-17",51.51055556,"2214.4",NA,NA,"SWP",NA
"155","2214.4.6","2214.4","Control","11/16-17",51.51055556,"2214.4",NA,NA,"LWP",11.3
"156","2214.4.6","2214.4","Control","11/16-17",51.51055556,"2214.4",NA,NA,"PD",NA
"157","2214.4.6","2214.4","Control","12/01-02",66.09923611,"2214.4",NA,NA,"SWP",NA
"158","2214.4.6","2214.4","Control","12/01-02",66.09923611,"2214.4",NA,NA,"LWP",9.1
"159","2214.4.6","2214.4","Control","12/01-02",66.09923611,"2214.4",NA,NA,"PD",NA
"160","2214.4.6","2214.4","Control","12/11-18",42.55923611,"2214.4",43.05631944,60.86916667,"SWP",10.9
"161","2214.4.6","2214.4","Control","12/11-18",42.55923611,"2214.4",43.05631944,60.86916667,"LWP",13.5
"162","2214.4.6","2214.4","Control","12/11-18",42.55923611,"2214.4",43.05631944,60.86916667,"PD",6.6
"163","2214.4.7","2214.4","Control","11/9-11",14.50861111,"2214.4",NA,NA,"SWP",NA
"164","2214.4.7","2214.4","Control","11/9-11",14.50861111,"2214.4",NA,NA,"LWP",10.5
"165","2214.4.7","2214.4","Control","11/9-11",14.50861111,"2214.4",NA,NA,"PD",NA
"166","2214.4.7","2214.4","Control","11/16-17",40.57673611,"2214.4",NA,NA,"SWP",NA
"167","2214.4.7","2214.4","Control","11/16-17",40.57673611,"2214.4",NA,NA,"LWP",9.1
"168","2214.4.7","2214.4","Control","11/16-17",40.57673611,"2214.4",NA,NA,"PD",NA
"169","2214.4.7","2214.4","Control","12/01-02",63.38638889,"2214.4",NA,NA,"SWP",NA
"170","2214.4.7","2214.4","Control","12/01-02",63.38638889,"2214.4",NA,NA,"LWP",11.5
"171","2214.4.7","2214.4","Control","12/01-02",63.38638889,"2214.4",NA,NA,"PD",NA
