"Date","Treatment","Genotype","mean_value_gsw","sem_gsw","p_value_gsw","mean_value_A","sem_A","p_value_A","mean_value_E","sem_E","p_value_E","mean_value_intrWUE_AE","sem_intrWUE_AE","p_value_intrWUE_AE","mean_value_instWUE_AGs","sem_instWUE_AGs","p_value_instWUE_AGs"
"10-28","Drought","V60-96",0.129091363982455,0.0182143608440295,0.202951958678798,10.4559720460124,1.00914008124742,0.67124414106148,0.00383622133779079,0.000629100680532794,0.186573105216307,85.2567072198174,6.01553667663933,0.0492240497357277,2986.8761643018,333.236108927166,0.228287298400782
"10-28","Drought","Vru42",0.217356179265954,0.0453958293077264,0.861119854953621,12.2292045079114,1.74116488858429,0.654222384668255,0.00573076125048881,0.000711830372112127,0.840701426223771,64.3585420065,6.11123241466092,0.962357027380205,2145.07772643894,190.866270480741,0.491812677302781
"10-28","Drought","b40-14",0.0972391707374747,0.0130442825898701,0.989655155430483,9.84868266873359,0.827199316552402,0.640410296386619,0.00334645745220179,0.000375369199688796,0.908781554956022,107.444339632627,6.22713336470512,0.85451814597085,3063.30198753897,189.004519171659,0.404973858511979
"10-28","Drought","b42-34",0.181404708745975,0.014745526121223,NA,14.300680686471,0.244696204913635,NA,0.00385627160504272,0.000428065017202629,NA,81.3361014461366,7.72203768533965,NA,3952.42210397717,554.226188338925,NA
"11-13","Control","9018",0.196426491392077,0.0299724562973564,0.00255116450543935,15.1364662698987,1.5414402777754,0.00123858404676079,0.00389484205092109,0.000399510188221857,0.033571899986675,83.0902913163293,6.702077004691,0.179774977310829,3956.99607720122,287.463497637685,0.390187200985826
"11-13","Control","NY1",0.129904841151636,0.0374417782190008,0.200029879479986,10.2063601173077,1.95467464494735,0.339279111888166,0.00260334911081153,0.000571631842761011,0.127097178517495,93.9936340155452,11.2866786172897,0.165487946608992,4024.1931760299,288.751826423391,0.0397940451455549
"11-13","Control","T48",0.402252344521862,0.0189777637883924,9.51757673261361e-05,19.7285578754414,0.834663975035317,0.0130955383899466,0.00742130454889925,0.00045667382093292,2.22955978682047e-05,49.4414255258641,2.64891472095977,0.127858548710607,2701.27568181817,180.363334712512,0.0833364944998943
"11-13","Control","T52",0.100057742892112,0.0244072916546818,0.328625289568145,9.55608830721538,1.39186794162765,0.262653059749217,0.00294046346576538,0.000807147408874173,0.267210523725147,109.955791407287,12.9036203227162,0.43182753763683,4084.99670322094,701.416804834275,0.757706495476022
"11-13","Control","TXNM0821",0.154579386506046,0.0264642528878329,0.00653621761822394,12.2709633601948,1.37611648262975,0.00175252316325429,0.00334528077856833,0.000620008007612714,0.0183432279032665,82.4889040848721,3.93421785868591,0.00482610882259972,3867.18573662928,286.118546897436,0.848219608846813
"11-13","Control","V60-96",0.148388864990615,0.0209012813047538,0.00953938126412317,12.5303590808106,1.16121798252747,0.00274495394328287,0.00332422903509089,0.000447130522277918,0.0154033509044768,92.5690088471694,11.902018044332,0.396171088672683,4025.04457663206,409.945776338878,0.800574734416224
"11-13","Control","Vru42",0.236930720400157,0.0421979136766466,0.0487922340191419,14.846806092651,1.0810156324103,0.0194658462551356,0.00518972669329036,0.00130967761670546,0.106720883068419,69.9985057403031,8.79227204493226,0.0529453123912656,3597.38169928411,611.068533278284,0.254556938646401
"11-13","Control","b40-14",0.0321247333230558,0.00623954846020132,0.0148799359608136,4.42023646263053,0.899205901398942,0.0312644742810658,0.000969175319142132,0.000180030235929356,0.01823006622207,140.412643215806,9.55895863393529,0.134563483996037,4649.39216010472,643.271452137928,0.189655453551341
"11-13","Control","b42-34",0.124928276101397,0.020683908435902,0.0514634087575107,10.2086680158415,1.31415490824779,0.112224629148282,0.00265264040418859,0.000500265542544848,0.0614329669305148,84.9704086029975,5.40646598369143,0.0377547470086075,4133.00674271431,366.24844748579,0.0501759471233336
"11-13","Drought","9018",0.0568402140344233,0.0207527223001582,0.00255116450543935,6.06336427176879,1.49835831408183,0.00123858404676079,0.00174580962273675,0.000735255424820822,0.033571899986675,144.350501288378,39.0796939208864,0.179774977310829,6059.19693272079,2223.68523841983,0.390187200985826
"11-13","Drought","NY1",0.0725172387449749,0.0147805284144319,0.200029879479986,8.0871624676465,0.57454026706149,0.339279111888166,0.00152499355413428,0.000237453156965339,0.127097178517495,134.987315192613,24.0027000347236,0.165487946608992,5795.2358805808,639.593887935674,0.0397940451455549
"11-13","Drought","T48",0.0727616457975626,0.0335433676146145,9.51757673261361e-05,8.0221305112471,2.88767521727018,0.0130955383899466,0.00147998303161109,0.000535627804307603,2.22955978682047e-05,213.002731141554,85.3661952975775,0.127858548710607,6880.6541502876,1822.67033807766,0.0833364944998943
"11-13","Drought","T52",0.066676973021009,0.0214229516962792,0.328625289568145,7.09855714206281,1.53114190220959,0.262653059749217,0.00183708536377286,0.000449095125557093,0.267210523725147,127.891297666291,17.589095578927,0.43182753763683,4428.97129950761,826.538857185611,0.757706495476022
"11-13","Drought","TXNM0821",0.0424948825310179,0.00995848486691535,0.00653621761822394,4.91365061859441,0.931276445900421,0.00175252316325429,0.00126252546546435,0.000256911376586582,0.0183432279032665,121.822876682736,8.80916727901227,0.00482610882259972,3997.01230136519,588.643258650754,0.848219608846813
"11-13","Drought","V60-96",0.0648700518822614,0.0143805048629171,0.00953938126412317,6.43670034255084,1.00241124719698,0.00274495394328287,0.0016991243677891,0.000308871038490274,0.0154033509044768,104.461823517651,5.65533867844757,0.396171088672683,3904.4998025115,209.686736262816,0.800574734416224
"11-13","Drought","Vru42",0.122957050428264,0.0265080124642971,0.0487922340191419,10.4485179012978,1.22144962255219,0.0194658462551356,0.00257219590793774,0.000471275365961698,0.106720883068419,94.6932295526102,7.13890850268577,0.0529453123912656,4487.90151817151,403.281837717221,0.254556938646401
"11-13","Drought","b40-14",0.00842459856875655,0.00290055901467194,0.0148799359608136,1.56773233772932,0.251083346572634,0.0312644742810658,0.000302837934244176,0.000131400167172767,0.01823006622207,285.018480744761,80.9273216778495,0.134563483996037,11393.2391720523,4426.20431720268,0.189655453551341
"11-13","Drought","b42-34",0.0651152463117239,0.017252048982855,0.0514634087575107,7.46062955484213,0.819436009334903,0.112224629148282,0.00135345281200123,0.000343621559321586,0.0614329669305148,136.691862266138,18.5646582062944,0.0377547470086075,6504.73290800101,919.734328650759,0.0501759471233336
"12-08","Control","9018",0.137046495331688,0.01680214186776,7.82775690870295e-05,11.5329018600695,0.901671597971281,0.00266267933282328,0.00495868267523707,0.000572234699748801,0.000215325010071545,89.9607727081305,6.72835713643447,0.879779809925392,2538.86248109502,231.236550395527,0.576907890344936
