ID,Genotype,Treatment,Date,LWP,SWP,PD,LWP.area,SWP.area,PD.area
2214.4.3,2214.4,Drought,11.16,11,,,,,
2214.4.8,2214.4,Control,11.16,13,,,,,
255189.01.1,255189.01,Drought,11.16,10,,,,,
255189.01.7,255189.01,Control,11.16,13,,,,,
2970.1,2970,Drought,11.16,11,,,,,
2970.9,2970,Control,11.16,10,,,,,
588155.01.4,588155.01,Drought,11.16,12,,,,,
588155.01.8,588155.01,Control,11.16,12,,,,,
9018.5,9018,Drought,11.16,11,,,,,
9018.6,9018,Control,11.16,10,,,,,
9031.1,9031,Control,11.16,12,,,,,
9031.5,9031,Drought,11.16,11,,,,,
ANU65.2,ANU65,Drought,11.16,9,,,,,
ANU65.8,ANU65,Control,11.16,11,,,,,
b40-14.1,b40-14,Drought,11.16,10,,,,,
b42-24.1,b42-24,Drought,11.16,10,,,,,
b42-24.7,b42-24,Control,11.16,10,,,,,
b42-34.2,b42-34,Drought,11.16,12,,,,,
b42-34.6,b42-34,Control,11.16,14,,,,,
C56-94.5,C56-94,Drought,11.16,12,,,,,
C56-94.7,C56-94,Control,11.16,9,,,,,
CC12.1,CC12,Drought,11.16,9,,,,,
CC12.9,CC12,Control,11.16,10,,,,,
Haines.1,Haines,Control,11.16,7,,,,,
Haines2.1,Hanes2,Drought,11.16,10,,,,,
Haines2.7,Hanes2,Control,11.16,8,,,,,
NY1.1,NY1,Drought,11.16,12,,,,,
NY1.6,NY1,Control,11.16,12,,,,,
OCK1-S02.10,OCK1-S02,Control,11.16,11,,,,,
OCK1-S02.2,OCK1-S02,Drought,11.16,9,,,,,
SC2.5,SC2,Drought,11.16,11,,,,,
SC2.7,SC2,Control,11.16,8,,,,,
T48.4,T48,Drought,11.16,9,,,,,
T48.7,T48,Control,11.16,12,,,,,
T52.3,T52,Drought,11.16,12,,,,,
T52.7,T52,Control,11.16,10,,,,,
TX6704.1,TX6704,Drought,11.16,11,,,,,
TX6704.6,TX6704,Control,11.16,11,,,,,
