ID,trt,ID Order,genotype,species,block,year,harvest_date,pd_pot,md_pot,pd_pot_als,harvest_sm,GWC_top,GWC_bottom,stem_diam,canopy_biomass,perc_canopy,dry_root_bag,bag_tare,root_biomass,perc_root,root_g,total_root_length,sys_area,surface_area,srl,srsa,exud_time,exud,exud_flow,exud_gg,exp,epson_file,dpi,mask_imagej,brown_imagej,perc_sub,perc_white,figure,figure_class
9018.6,Control,6,9018,V. acerifolia,1,2020,12/11/20,6.7,9.4,12.5,,0.493626235,0.545430895,6.46,26.6,0.75,15.9434,7.1611,8.7823,0.25,8.7823,3617.644161,10777.02311,1130.112488,411.92,128.68,,,,,,9018-6_C_20201212_15384321_mask_R6.tif,300,0.283,0.042,14.8,0.851590106,20201118_202625_9018_C_roots_4X.h5_00373-GR,microct
9018.6,Control,6,9018,V. acerifolia,1,2020,12/11/20,6.7,9.4,12.5,,0.493626235,0.545430895,6.46,26.6,0.75,15.9434,7.1611,8.7823,0.25,,,,,,,,,,,,,,,,,,20201118_202625_9018_C_roots_4X.h5_00373-GR,microct
9018.7,Control,7,9018,V. acerifolia,5,2020,12/18/20,9,12.9,,,0.270955859,0.377866429,6.53,64.9,,xx,12.7141,,,,,,,,,,,,,,,,,,,,,
9018.8,Control,8,9018,V. acerifolia,2,2020,12/15/20,6.4,11.1,7.8,,0.320866426,0.51495356,7.51,70.5,0.81,24.08276,7.1611,16.9217,0.19,16.9217,,,,,,,,,,,,,,,,,9018-8_C_01_10X,
9018.9,Control,9,9018,V. acerifolia,4,2020,12/17/20,9,14.2,8.67,,0.372200999,0.38259686,6.84,76.1,0.75,32.7419,7.1611,25.5808,0.25,25.5808,11163.1039,23389.16953,5480.772633,436.39,214.25,,,,,,9018-9_C_B4_R1_20201223_14191990.tif,300,2.519,1.981,78.6,0.213576816,,
9018.9,Control,9,9018,V. acerifolia,4,2020,12/17/20,9,14.2,8.67,,0.372200999,0.38259686,6.84,76.1,0.75,32.7419,7.1611,25.5808,0.25,25.5808,3173.35865,7644.843358,1385.750676,124.05,54.17,,,,,,9018-9_C_B4_R2_20201223_14245166.tif,300,0.712,0.521,73.2,0.268258427,,
9018.9,Control,9,9018,V. acerifolia,4,2020,12/17/20,9,14.2,8.67,,0.372200999,0.38259686,6.84,76.1,0.75,32.7419,7.1611,25.5808,0.25,25.5808,8498.085111,18397.90396,3972.405552,332.21,155.29,,,,,,9018-9_C_B4_R3_20201223_14292512.tif,300,1.984,1.465,73.8,0.261592742,,
9025.10.,Control,80,9025,cinerea,2,2020,12/15/20,6.2,13.9,,,0.51953337,0.644122383,5.88,40.5,0.79,17.3641,6.3807,10.9834,0.21,,,,,,,,,,,,,,,,,,,
9025.1,Drought,71,9025,cinerea,4,2020,12/17/20,11,14?,,,0.177093359,0.144235021,4.79,6.9,0.32,20.9716,6.3807,14.5909,14.59,,,,,,,,,,,,,,,,,,,
9025.2,Drought,72,9025,cinerea,5,2020,12/18/20,7,10.5,,,0.073817415,0.056512728,7.75,8.3,,17.9344,6.3807,11.5537,11.55,,,,,,,,,,,,,,,,,,,
