"Species","Treatment","species_geno","Genotype","Porosity","SpongyV_TotalMesophyllV","PalisadeV_TotalMesophyllV","SpongyV_PalisadeV","Leaf_Width_um","Mesophyll_Width_um","SASP_SAWM","SAPA_SAWM","SASPPA_SAWM","Treatment_factor","mean_Porosity","sd_Porosity","Tukey_Porosity","mean_SpongyV_TotalMesophyllV","sd_SpongyV_TotalMesophyllV","Tukey_SpongyV_TotalMesophyllV","mean_PalisadeV_TotalMesophyllV","sd_PalisadeV_TotalMesophyllV","Tukey_PalisadeV_TotalMesophyllV","mean_SpongyV_PalisadeV","sd_SpongyV_PalisadeV","Tukey_SpongyV_PalisadeV","mean_Leaf_Width_um","sd_Leaf_Width_um","Tukey_Leaf_Width_um","mean_Mesophyll_Width_um","sd_Mesophyll_Width_um","Tukey_Mesophyll_Width_um","mean_SASP_SAWM","sd_SASP_SAWM","Tukey_SASP_SAWM","mean_SAPA_SAWM","sd_SAPA_SAWM","Tukey_SAPA_SAWM","mean_SASPPA_SAWM","sd_SASPPA_SAWM","Tukey_SASPPA_SAWM"
"arizonica","Control","arizonica_b40-14","b40-14",0.3074540051,0.3330024727,0.3595435222,0.9261812606,148.2327039,116.4093018,0.3330024727,0.3595435222,0.6925459949,"Control",0.299135165066667,0.0128773091576472,"d",0.3397622516,0.0139153443178031,"cd",0.361102583333333,0.0233365712868347,"bc",0.945004918266667,0.0976980420613998,"bcde",154.4511991,6.2140985261141,"f",122.638422,6.69565516477485,"d",0.3397622516,0.0139153443178031,"cd",0.361102583333333,0.0233365712868347,"bc",0.700864834933333,0.0128773091576472,"b"
"arizonica","Control","arizonica_b40-14","b40-14",0.3056492059,0.3557661598,0.3385846343,1.050745143,154.4600018,121.7868323,0.3557661598,0.3385846343,0.6943507941,"Control",0.299135165066667,0.0128773091576472,"d",0.3397622516,0.0139153443178031,"cd",0.361102583333333,0.0233365712868347,"bc",0.945004918266667,0.0976980420613998,"bcde",154.4511991,6.2140985261141,"f",122.638422,6.69565516477485,"d",0.3397622516,0.0139153443178031,"cd",0.361102583333333,0.0233365712868347,"bc",0.700864834933333,0.0128773091576472,"b"
"arizonica","Drought","arizonica_b40-14","b40-14",0.2769806596,0.3409557295,0.3820636109,0.8924056616,128.8909643,102.4179029,0.3409557295,0.3820636109,0.7230193404,"Drought",0.3146320106,0.0268894724290616,"d",0.322439677,0.0209279596768966,"cd",0.3629283124,0.0262810002074271,"bc",0.8930628392,0.0985808531408518,"bcde",134.302490575,5.48837615626509,"f",106.79169895,5.09789398743223,"d",0.322439677,0.0209279596768966,"cd",0.3629283124,0.0262810002074271,"bc",0.6853679894,0.0268894724290616,"b"
"arizonica","Drought","arizonica_b40-14","b40-14",0.3230147806,0.3331470015,0.3438382179,0.9689062594,141.4756546,112.8630956,0.3331470015,0.3438382179,0.6769852194,"Drought",0.3146320106,0.0268894724290616,"d",0.322439677,0.0209279596768966,"cd",0.3629283124,0.0262810002074271,"bc",0.8930628392,0.0985808531408518,"bcde",134.302490575,5.48837615626509,"f",106.79169895,5.09789398743223,"d",0.322439677,0.0209279596768966,"cd",0.3629283124,0.0262810002074271,"bc",0.6853679894,0.0268894724290616,"b"
"arizonica","Drought","arizonica_b40-14","b40-14",0.340511549,0.3224813944,0.3370070566,0.9568980473,131.4121648,102.7387844,0.3224813944,0.3370070566,0.659488451,"Drought",0.3146320106,0.0268894724290616,"d",0.322439677,0.0209279596768966,"cd",0.3629283124,0.0262810002074271,"bc",0.8930628392,0.0985808531408518,"bcde",134.302490575,5.48837615626509,"f",106.79169895,5.09789398743223,"d",0.322439677,0.0209279596768966,"cd",0.3629283124,0.0262810002074271,"bc",0.6853679894,0.0268894724290616,"b"
"arizonica","Drought","arizonica_b40-14","b40-14",0.3180210532,0.2931745826,0.3888043642,0.7540413885,135.4311786,109.1470129,0.2931745826,0.3888043642,0.6819789468,"Drought",0.3146320106,0.0268894724290616,"d",0.322439677,0.0209279596768966,"cd",0.3629283124,0.0262810002074271,"bc",0.8930628392,0.0985808531408518,"bcde",134.302490575,5.48837615626509,"f",106.79169895,5.09789398743223,"d",0.322439677,0.0209279596768966,"cd",0.3629283124,0.0262810002074271,"bc",0.6853679894,0.0268894724290616,"b"
"cinerea","Control","cinerea_b42-34","b42-34",0.3420925532,0.3966832447,0.261224202,1.518554719,164.0952572,134.3253574,0.3966832447,0.261224202,0.6579074468,"Control",0.37226682155,0.0317324999247275,"d",0.359076179775,0.0293884446394812,"a",0.268656998625,0.0134920484650478,"d",1.33923814125,0.132498150979869,"a",175.3761956,18.2404317373324,"d",143.345779825,18.4146869185414,"bc",0.359076179775,0.0293884446394812,"a",0.268656998625,0.0134920484650478,"d",0.62773317845,0.0317324999247275,"b"
"cinerea","Control","cinerea_b42-34","b42-34",0.3928110343,0.3494845166,0.2577044491,1.356144676,175.9980654,146.9568127,0.3494845166,0.2577044491,0.6071889657,"Control",0.37226682155,0.0317324999247275,"d",0.359076179775,0.0293884446394812,"a",0.268656998625,0.0134920484650478,"d",1.33923814125,0.132498150979869,"a",175.3761956,18.2404317373324,"d",143.345779825,18.4146869185414,"bc",0.359076179775,0.0293884446394812,"a",0.268656998625,0.0134920484650478,"d",0.62773317845,0.0317324999247275,"b"
"cinerea","Control","cinerea_b42-34","b42-34",0.3484293231,0.3636738455,0.2878968313,1.263208921,200.876078,167.3608448,0.3636738455,0.2878968313,0.6515706769,"Control",0.37226682155,0.0317324999247275,"d",0.359076179775,0.0293884446394812,"a",0.268656998625,0.0134920484650478,"d",1.33923814125,0.132498150979869,"a",175.3761956,18.2404317373324,"d",143.345779825,18.4146869185414,"bc",0.359076179775,0.0293884446394812,"a",0.268656998625,0.0134920484650478,"d",0.62773317845,0.0317324999247275,"b"
"cinerea","Control","cinerea_b42-34","b42-34",0.4057343756,0.3264631123,0.2678025121,1.219044249,160.5353818,124.7401044,0.3264631123,0.2678025121,0.5942656244,"Control",0.37226682155,0.0317324999247275,"d",0.359076179775,0.0293884446394812,"a",0.268656998625,0.0134920484650478,"d",1.33923814125,0.132498150979869,"a",175.3761956,18.2404317373324,"d",143.345779825,18.4146869185414,"bc",0.359076179775,0.0293884446394812,"a",0.268656998625,0.0134920484650478,"d",0.62773317845,0.0317324999247275,"b"
