ID,Genotype,Species,Treatment,Order within block,mPot (kg),Dry weight of soil (kg),mH2O (kg),Date,PWW,WA,BB,TW,POWW,PD.WT,midday.WT,POWW.NOTES,WU,tgt_swc,SWC
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,11/09,4.57,0.797275766,1,5.367275766,5.36,NA,NA,NA,0.6000000000000001,0.5,0.33523069551841145
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,11/11,4.85,0.273130919,1,5.123130919,5.12,NA,NA,NA,0.44400000000000067,0.4,0.3925737039558108
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,11/13,4.67,0.208986073,1,4.878986072,4.878986072,NA,NA,NA,0.3900000000000002,0.3,0.30655919144306915
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,11/16,4.42,0.458986073,1,4.878986072,4.89,NA,NA,NA,0.16,0.3,0.20600127792662462
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,11/18,4.56,0.318986073,1,4.878986072,4.88,NA,NA,NA,0.29666666666666686,0.3,0.23692839557406525
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,11/20,4.46,0.418986073,1,4.878986072,4.87,NA,NA,NA,0.35333333333333294,0.3,0.21440078513260669
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,11/23,4.39,0.488986073,1,4.878986072,4.87,NA,NA,NA,0.37400000000000044,0.3,0.1980170684479095
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,11/25,4.58,0.298986073,1,4.878986072,4.88,NA,NA,NA,0.22999999999999993,0.3,0.23692839557406542
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,11/27,4.531,0.347986073,1,4.878986072,4.9345,NA,NA,NA,0.3412500000000003,0.3,0.22894133369027542
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,11/30,4.47,0.408986073,1,4.878986072,4.88,NA,NA,NA,0.3522000000000001,0.3,0.22761015670964377
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,12/02,4.59,0.288986073,1,4.878986072,4.59,NA,NA,NA,0.25815000000000005,0.3,0.2410243247452396
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,12/04,4.42,0.214841226,1,4.634841226,4.63,NA,NA,NA,0.13814999999999994,0.2,0.1468179536443936
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,12/07,4.35,5.239418756,1,4.634841226,5.23,NA,NA,NA,0.13200000000000026,0.2,0.14067405972379493
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,12/09,4.77,0.469418756,1,4.878986072,5.24,NA,NA,NA,0.37400000000000094,0.3,0.3495664476175214
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,12/14,4.568,0.310986073,1,4.878986072,4.883,NA,NA,NA,0.27866666666666645,0.3,0.23631115379331435
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,10/28,5.178,0.857104921,1,6.035104921,NA,NA,NA,NA,0.72730687075,0.8,0.43289958438362947
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,10/30,5.12,0.915104921,1,6.035104921,NA,NA,NA,NA,0.76980687075,0.8,0.43300312654459644
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,11/06,4.762,0.548762303,1,5.310762303,5.4,NA,NA,NA,0.4510000000000004,0.5,0.39469252677971484
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,11/09,4.53,0.780762303,1,5.310762303,5.31,NA,NA,NA,0.6800000000000002,0.5,0.35679609586578565
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,11/11,4.82,0.249314763,1,5.069314763,5.06,NA,NA,NA,0.4239999999999993,0.4,0.39821296035613557
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,11/13,4.68,0.147867224,1,4.827867224,4.827867224,NA,NA,NA,0.3199999999999999,0.3,0.31745007480185944
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,11/16,4.47,0.357867224,1,4.827867224,4.83,NA,NA,NA,0.11999999999999997,0.3,0.22589130857554232
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,11/18,4.55,0.277867224,1,4.827867224,4.82,NA,NA,NA,0.24666666666666703,0.3,0.24289971880206274
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,11/25,4.55,0.277867224,1,4.827867224,4.83,NA,NA,NA,0.2189999999999998,0.3,0.24269263448012865
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,11/27,4.5285,0.299367224,1,4.827867224,4.858,NA,NA,NA,0.29374999999999996,0.3,0.23844740588048094
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,11/30,4.5,0.327867224,1,4.827867224,4.83,NA,NA,NA,0.24569999999999964,0.3,0.2383438637195138
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,12/02,4.56,0.267867224,1,4.827867224,4.56,NA,NA,NA,0.23815000000000047,0.3,0.2449705620214031
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,12/04,4.45,0.136419684,1,4.586419684,4.58,NA,NA,NA,0.07814999999999943,0.2,0.16627851979001002
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,12/07,4.4,4.734451254,2,4.586419684,4.73,NA,NA,NA,0.03199999999999972,0.2,0.1600659902355313
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,12/09,4.5,0.332318478,2,4.827867224,4.94,NA,NA,NA,0.14400000000000052,0.3,0.2118370706154991
1149.3,1149,treleasei,Drought,31,6.518,3.851524605,2.414475395,12/14,4.5315,0.296367224,2,4.827867224,4.833,NA,NA,NA,0.24516666666666637,0.3,0.23862699437448592
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,10/28,5.712,0.471212628,1,6.333212628,NA,NA,NA,NA,0.34141457775000006,0.8,0.5169795503374333
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,10/30,5.56,0.623212628,1,6.333212628,NA,NA,NA,NA,0.47791457775,0.8,0.5189947551228318
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,11/06,5.18,0.270431291,1,5.450431291,5.45,NA,NA,NA,0.25200000000000056,0.5,0.44519391430773453
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,11/09,4.92,0.530431291,1,5.450431291,5.45,NA,NA,NA,0.34000000000000025,0.5,0.3930203184364613
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,11/11,5.05,0.152317549,1,5.202317549,5.202317549,NA,NA,NA,0.33400000000000035,0.4,0.41921798066679355
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,11/13,4.92,0.034203807,1,4.954203807,4.92,NA,NA,NA,0.22231754900000006,0.3,0.34310723244547564
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,11/16,4.77,0.184203807,1,4.954203807,4.95,NA,NA,NA,0.06000000000000036,0.3,0.255986393109974
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,11/18,4.81,0.144203807,1,4.954203807,4.95,NA,NA,NA,0.10666666666666737,0.3,0.27009282660776335
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,11/20,4.8,0.154203807,1,4.954203807,4.95,NA,NA,NA,0.08333333333333336,0.3,0.2680776218223649
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,11/23,4.73,0.224203807,1,4.954203807,4.95,NA,NA,NA,0.11399999999999975,0.3,0.25397118832457577
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,11/25,4.77,0.184203807,1,4.954203807,4.95,NA,NA,NA,0.1200000000000005,0.3,0.26203200746616945
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,11/27,4.796,0.158203807,1,4.954203807,5.024,NA,NA,NA,0.14625,0.3,0.2672715399082056
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,11/30,4.74,0.214203807,1,4.954203807,4.95,NA,NA,NA,0.1716999999999998,0.3,0.27089890852192283
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,12/02,4.78,0.174203807,1,4.954203807,4.78,NA,NA,NA,0.13814999999999994,0.3,0.2640472122515681
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,12/04,4.71,-0.003909935,1,4.706090065,4.71,NA,NA,NA,0.03815000000000028,0.2,0.2156822974221569
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,12/14,4.83,0.124203807,1,4.954203807,4.954203807,NA,NA,NA,0.07666666666666651,0.3,0.27497038937688945
1149.4,1149,treleasei,Drought,18,6.691,3.957862581,2.481137419,12/16,4.85,-0.143909935,1,4.706090065,4.85,NA,NA,NA,0.06420380700000061,0.3,0.3290007989678383
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,10/28,5.7585,0.813752553,1,6.572252553,NA,NA,NA,NA,0.68395450275,0.8,0.4511579321016841
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,10/30,5.739,0.833252553,1,6.572252553,NA,NA,NA,NA,0.68795450275,0.8,0.4879179394214429
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,11/06,5.273,0.507631384,1,5.780631384,5.783,NA,NA,NA,0.3730000000000001,0.5,0.4044499843156606
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,11/09,5.01,0.770631384,1,5.780631384,5.7835,NA,NA,NA,0.5830000000000006,0.5,0.35442605682897865
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,11/11,5.25,0.26675766,1,5.51675766,5.61,NA,NA,NA,0.4675000000000001,0.4,0.3999970969636901
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,11/13,5.12,0.132883937,1,5.252883937,5.252883937,NA,NA,NA,0.4300000000000002,0.3,0.342488528887181
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,11/16,4.87,0.382883937,1,5.252883937,5.26,NA,NA,NA,0.16,0.3,0.2274494003776389
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,11/18,4.97,0.282883937,1,5.252883937,5.25,NA,NA,NA,0.2566666666666668,0.3,0.24774624192374053
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,11/20,4.9,0.352883937,1,5.252883937,5.25,NA,NA,NA,0.28333333333333266,0.3,0.23258747601868554
1149.5,1149,treleasei,Drought,49,7.1,4.209262767,2.638737233,11/23,4.873,0.379883937,1,5.252883937,5.3065,NA,NA,NA,0.2709999999999998,0.3,0.2274713925257294
