ID,trt,ID Order,genotype,species,block,year,harvest_date,pd_mpa,pd_pot,md_mpa,md_pot,figure,pd_pot_als,sm_wet_top,sm_wet_bot,sm_dry_top,sm_dry_bot,GWC_top,GWC_bottom,stem_diam,canopy_biomass,dry_root_bag,bag_tare,root_biomass,root_g,exud_time,exud,exud_flow,exud_gg,exud_ro,exud_s,exp,parameter,epson_file,mask_imagej,brown_imagej,perc_white
9018.6,Control,6,9018,acerifolia,1,2020,12/11/2020,,6.7,,9.4,9018-6_C_ALS,12.5,,,,,0.494,0.545,6.46,26.6,15.94340,7.1611,8.7823,8.7823,,,,,,,,,9018-6_C_20201212_15350320.tif,0.386,0.092,0.7616580311
9018.6,Control,6,9018,acerifolia,1,2020,12/11/2020,,6.7,,9.4,9018-6_C_ALS,12.5,,,,,0.494,0.545,6.46,26.6,15.94340,7.1611,8.7823,8.7823,,,,,,,,,9018-6_C_20201212_15350320_mask_R1.tif,0.321,0.065,0.7975077882
9018.6,Control,6,9018,acerifolia,1,2020,12/11/2020,,6.7,,9.4,9018-6_C_ALS,12.5,,,,,0.494,0.545,6.46,26.6,15.94340,7.1611,8.7823,8.7823,,,,,,,,,9018-6_C_20201212_15350320.tif,0.283,0.042,0.851590106
9018.7,Control,7,9018,acerifolia,5,2020,12/18/2020,,9,,12.9,,,,,,,0.271,0.378,6.53,64.9,xx,12.7141,,,,,,,,,,,,,,
9018.8,Control,8,9018,acerifolia,2,2020,12/15/2020,,6.4,,11.1,9018-8_C_01_10X,7.8,9.0245,11.1640,,,0.321,0.515,7.51,70.5,24.08276,7.1611,16.9217,16.9217,,,,,,,,,,,,
9018.9,Control,9,9018,acerifolia,4,2020,12/17/2020,,9,,14.2,,8.67,10.8695,10.5785,,,0.372,0.383,6.84,76.1,32.74190,7.1611,25.5808,25.5808,,,,,,,,,9018-9_C_B4_R1_20201223_14191990.tif,2.519,1.981,0.2135768162
9018.9,Control,9,9018,acerifolia,4,2020,12/17/2020,,9,,14.2,,8.67,10.8695,10.5785,,,0.372,0.383,6.84,76.1,32.74190,7.1611,25.5808,,,,,,,,,,9018-9_C_B4_R3_20201223_14292512.tif,1.984,1.465,0.2615927419
9018.9,Control,9,9018,acerifolia,4,2020,12/17/2020,,9,,14.2,,8.67,10.8695,10.5785,,,0.372,0.383,6.84,76.1,32.74190,7.1611,25.5808,,,,,,,,,,9018-9_C_B4_R2_20201223_14245166.tif,0.712,0.521,0.268258427
9025.10,Control,80,9025,cinerea,2,2020,12/15/2020,,6.2,,13.9,,,,,,,0.520,0.644,5.88,40.50,17.36410,,,,,,,,,,,,,,,
9025.1,Drought,71,9025,cinerea,4,2020,12/17/2020,,11,,14?,,,10.3724,10.3596,,,0.177,0.144,4.79,6.90,20.97160,,,,,,,,,,,,,,,
9025.2,Drought,72,9025,cinerea,5,2020,12/18/2020,,7,,10.5,,,,,,,0.074,0.057,7.75,8.30,17.93440,,,,,,,,,,,,,,,
9025.3,Drought,73,9025,cinerea,1,2020,12/11/2020,,5.6,,13.6,,,,,,,0.245,0.259,4.08,6.00,15.28230,,,,170,0.01291,0.00007594117647,,,,,,,,,
9025.4,Drought,74,9025,cinerea,3,2020,12/16/2020,,,,,,,10.4379,10.5242,,,0.163,0.546,3.875,6.50,18.31350,,,,69,0.14109,0.002044782609,,,,,,,,,
9025.5,Drought,75,9025,cinerea,2,2020,12/15/2020,,4.7,1.45,14.5,,,,10.2853,,,0.253,0.272,3.81,8.80,19.42740,,,,,,,,,,,,,,,
9025.6,Control,76,9025,cinerea,,2020,12/18/2020,,,,,,,,,,,0.455,0.612,3.71,4.10,11.74220,,,,,,,,,,,,,,,
9025.7,Control,77,9025,cinerea,4,2020,12/17/2020,,6.5,,13.4,,,9.4104,10.8800,,,0.412,0.484,5.59,40.20,18.43840,,,,,,,,,,,,,,,
