ID,Treatment,TotalLeafArea,LeafWetWeight (g),AGDryWeight,Notes
V57-96.3,Drought,443.86,6.2,4.1,
T48.3,Drought,1041.42,22.4,16.7,
1149.6,Control,8710.341369,137.8,77.9,
T52.5,Drought,498.04,7.1,7.2,
255189.01.4,Drought,1176.7,15.6,10,
b42-24.8,Control,10352.95625,167,91.4,
TXNM0821.1,Drought,1193.22,25.3,15.9,
9035.3,Drought,#DIV/0!,,11,
9035.9,Control,5824.334737,95.3,47.4,
b42-34.4,Drought,#DIV/0!,,15.4,
b42-24.2,Drought,2686.21875,48,31.4,
TXNM0821.8,Drought,2165.060221,44.5,24.8,
255189.01.6,Control,#DIV/0!,,110.8,
OCK1-S02.9,Control,13219.33492,204.4,97.9,
V37-96.4,Drought,#DIV/0!,,,
b42-34.7,Control,5261.433604,81.5,51.3,
Vru42.9,Control,8751.353116,134,53.8,
2214.4.2,Drought,1048.61,15.1,9.9,
V57-96.9,Control,2012.78,25.5,11.4,
b40-14.7,Control,15310.79234,196.5,100.5,
ANU65.4,Drought,1810.43,29.7,16.3,
9031.6,Control,2778.592627,41.2,20.3,
TX6704.7,Control,9292.593333,145.6,85.9,
V60-96.9,Control,7065.503614,93.9,46,
9031.3,Drought,,,6,
9035.6,Control,,,32.8,
CC12.10,Control,,,65.5,
UT12-075.7,Control,,,15,
1149.9,Control,,,78.5,
C56-94.4,Drought,,,7.9,
UT12-075.4,Drought,,,,
V57-96.1,Drought,,,3.7,
T52.9,Control,,,45.6,
b42-34.8,Control,,,23.9,
OCK1-S02.7,Control,,,73.7,
TX6704.4,Drought,,,6.4,
TX6704.10,Control,,,42.9,
NY1.7,Control,,,65.8,
Haines2.3,Drought,,,4.2,
T48.5,Drought,,,6,
1149.4,Drought,,,10.5,
V57-96.7,Control,,,23.7,
9035.4,Drought,,,10.4,
SC2.2,Drought,,,8.2,
Haines.2,Drought,,,1.6,
2970.10.,Control,,,6.4,bag says 2970.1 control B5 P23
V60-96.5,Drought,,,2.4,
SC2.6,Control,,,,
b42-24.9,Control,,,96,
9031.8,Control,,,33.8,
255189.01.3,Drought,,,7.1,
b40-14.4,Drought,,,16,
9025.2,Drought,,,8.3,
ANU65.5,Drought,,,4.2,
2214.4.10,Control,,,48.2,
9025.6,Control,,,4.1,
588155.01.3,Drought,,,7.9,
Vru42.4,Drought,,,9.8,
9018.7,Control,,,64.9,
OCK1-S02.5,Drought,,,8.9,
T52.2,Drought,,,5.4,
Haines.6,Control,,,13.7,
255189.01.10,Control,,,70.1,
CC12.5,Drought,,,9.7,
b42-34.3,Drought,,,11.2,
Vru42.7,Control,,,69.2,
TXNM0821.6,Control,,,45.9,
NY1.3,Drought,,,4.5,
b40-14.8,Control,,,51.7,
b40-14.8,Control,,,58.5,bag 2
9018.2,Drought,,,5.3,
ANU65.7,Control,,,87.1,
V60-96.10,Control,,,33.2,
T48.9,Control,,,43.1,
C56-94.9,Control,,,52.9,
2214.4.5,Drought,,,5.8,
2970.4,Drought,,,3.9,
588155.01.7,Control,,,43.1,
b42-24.4,Drought,,,15.2,
