"Species","species_geno","Genotype","Treatment","Porosity","SpongyV_TotalMesophyllV","PalisadeV_TotalMesophyllV","SpongyV_PalisadeV","Leaf_Width_um","Mesophyll_Width_um","mean_Porosity","sem_Porosity","mean_SpongyV_TotalMesophyllV","sem_SpongyV_TotalMesophyllV","mean_PalisadeV_TotalMesophyllV","sem_PalisadeV_TotalMesophyllV","mean_SpongyV_PalisadeV","sem_SpongyV_PalisadeV","mean_Leaf_Width_um","sem_Leaf_Width_um","mean_Mesophyll_Width_um","sem_Mesophyll_Width_um","p_value_Porosity","p_value_SpongyV_TotalMesophyllV","p_value_PalisadeV_TotalMesophyllV","p_value_SpongyV_PalisadeV","p_value_Leaf_Width_um","p_value_Mesophyll_Width_um"
"cinerea","cinerea_b42-34","b42-34","Control",0.3928110343,0.3494845166,0.2577044491,1.356144676,175.9980654,146.9568127,0.37226682155,0.0158662499623638,0.359076179775,0.0146942223197406,0.268656998625,0.00674602423252388,1.33923814125,0.0662490754899344,175.3761956,9.12021586866619,143.345779825,9.20734345927068,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"cinerea","cinerea_b42-34","b42-34","Control",0.3484293231,0.3636738455,0.2878968313,1.263208921,200.876078,167.3608448,0.37226682155,0.0158662499623638,0.359076179775,0.0146942223197406,0.268656998625,0.00674602423252388,1.33923814125,0.0662490754899344,175.3761956,9.12021586866619,143.345779825,9.20734345927068,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"cinerea","cinerea_b42-34","b42-34","Control",0.4057343756,0.3264631123,0.2678025121,1.219044249,160.5353818,124.7401044,0.37226682155,0.0158662499623638,0.359076179775,0.0146942223197406,0.268656998625,0.00674602423252388,1.33923814125,0.0662490754899344,175.3761956,9.12021586866619,143.345779825,9.20734345927068,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"cinerea","cinerea_b42-34","b42-34","Drought",0.3099776957,0.4002913131,0.2897309912,1.381596465,167.0212604,137.6714961,0.26261222735,0.016516372849915,0.435156746775,0.0153680329107931,0.302231025875,0.00675988221973392,1.44197795525,0.0604077683890912,180.88777685,7.38240833216498,150.1926125,7.09840163359959,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"cinerea","cinerea_b42-34","b42-34","Drought",0.2459387394,0.4530845268,0.3009767338,1.505380569,176.272645,144.9152443,0.26261222735,0.016516372849915,0.435156746775,0.0153680329107931,0.302231025875,0.00675988221973392,1.44197795525,0.0604077683890912,180.88777685,7.38240833216498,150.1926125,7.09840163359959,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"cinerea","cinerea_b42-34","b42-34","Drought",0.2591194064,0.4196081694,0.3212724242,1.306082122,178.5175276,147.6545109,0.26261222735,0.016516372849915,0.435156746775,0.0153680329107931,0.302231025875,0.00675988221973392,1.44197795525,0.0604077683890912,180.88777685,7.38240833216498,150.1926125,7.09840163359959,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"cinerea","cinerea_b42-34","b42-34","Drought",0.2354130679,0.4676429778,0.2969439543,1.574852665,201.7396744,170.5291987,0.26261222735,0.016516372849915,0.435156746775,0.0153680329107931,0.302231025875,0.00675988221973392,1.44197795525,0.0604077683890912,180.88777685,7.38240833216498,150.1926125,7.09840163359959,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"mustangensis","mustangensis_T48","T48","Control",0.3311709738,0.3018875915,0.3669414347,0.8227132808,201.2299456,160.2011058,0.37923059,0.0165875329354966,0.2716553969,0.0132265313503786,0.3491140131,0.00979296335791431,0.780077287,0.0440023996358914,203.76658695,8.29711375892433,161.922278375,6.75879341655704,0.743646473974038,0.84698565040715,0.789631221967322,0.99722427294171,0.840128640518594,0.6845250724629
"mustangensis","mustangensis_T48","T48","Control",0.3980253609,0.2805892978,0.3213853413,0.8730619036,208.0140254,166.1128719,0.37923059,0.0165875329354966,0.2716553969,0.0132265313503786,0.3491140131,0.00979296335791431,0.780077287,0.0440023996358914,203.76658695,8.29711375892433,161.922278375,6.75879341655704,0.743646473974038,0.84698565040715,0.789631221967322,0.99722427294171,0.840128640518594,0.6845250724629
"mustangensis","mustangensis_T48","T48","Control",0.404123843,0.2390627011,0.3568134559,0.6699935137,182.9091077,144.4918442,0.37923059,0.0165875329354966,0.2716553969,0.0132265313503786,0.3491140131,0.00979296335791431,0.780077287,0.0440023996358914,203.76658695,8.29711375892433,161.922278375,6.75879341655704,0.743646473974038,0.84698565040715,0.789631221967322,0.99722427294171,0.840128640518594,0.6845250724629
